h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95,metric
2,7,5,12,0.5,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,5,12,0.7,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,5,12,0.7,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,9,5,0.3,1,0.031846626634824855,0.0013777494262072764,50,0.000194843192409408,0.0003818926571224397,percent_serviced
2,7,9,5,0.3,2,0.6078670578051717,0.004659008522315452,50,0.0006588833039470345,0.0012914112757361877,percent_serviced
2,7,9,5,0.5,1,0.03216125525823296,0.0012048915707278736,50,0.00017039740005123801,0.0003339789041004265,percent_serviced
2,7,9,5,0.5,2,0.6076828535549786,0.004433969451273415,50,0.0006270579733138853,0.0012290336276952153,percent_serviced
2,7,9,5,0.7,1,0.03204108843950871,0.0012898783066257447,50,0.00018241633950409698,0.00035753602542803006,percent_serviced
2,7,9,5,0.7,2,0.607758731942881,0.0050100778987854176,50,0.0007085320113008036,0.001388722742149575,percent_serviced
2,7,9,9,0.3,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,9,9,0.3,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,9,9,0.5,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,9,9,0.5,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,9,9,0.7,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,9,9,0.7,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,12,12,0.3,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,12,12,0.3,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,12,12,0.5,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,12,12,0.5,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,7,12,12,0.7,1,0.03195601903611815,0.0012942216343719368,50,0.0001830305788045466,0.00035873993445691133,percent_serviced
2,7,12,12,0.7,2,0.607531319166185,0.005010283838661495,50,0.0007085611355973819,0.0013887798257708685,percent_serviced
2,10,5,9,0.3,1,0.03175280346144252,0.0013529442043968651,50,0.00019133520429921234,0.0003750170004264562,percent_serviced
2,10,5,9,0.3,2,0.526592725986307,0.009493454376685705,50,0.0013425771933279142,0.0026314512989227116,percent_serviced
2,10,5,9,0.5,1,0.03175280346144252,0.0013529442043968651,50,0.00019133520429921234,0.0003750170004264562,percent_serviced
2,10,5,9,0.5,2,0.526592725986307,0.009493454376685705,50,0.0013425771933279142,0.0026314512989227116,percent_serviced
2,10,5,9,0.7,1,0.03175280346144252,0.0013529442043968651,50,0.00019133520429921234,0.0003750170004264562,percent_serviced
2,10,5,9,0.7,2,0.526592725986307,0.009493454376685705,50,0.0013425771933279142,0.0026314512989227116,percent_serviced
2,10,5,12,0.3,1,0.03175280346144252,0.0013529442043968651,50,0.00019133520429921234,0.0003750170004264562,percent_serviced
2,10,5,12,0.3,2,0.526592725986307,0.009493454376685705,50,0.0013425771933279142,0.0026314512989227116,percent_serviced
2,10,5,12,0.5,1,0.03175280346144252,0.0013529442043968651,50,0.00019133520429921234,0.0003750170004264562,percent_serviced
