h1,h2,tau1,tau2,balk_high,class_id,mean,std,n,se,ci95
5,5,12,12,0.5,1,0.5834003947293992,0.00367931350752,50,0.0005203335062557307,0.0010198536722612322
5,5,12,12,0.5,2,0.5838541522452637,0.0037674730902918147,50,0.000532801154016636,0.0010442902618726065
5,5,12,12,0.7,1,0.5834003947293992,0.00367931350752,50,0.0005203335062557307,0.0010198536722612322
5,5,12,12,0.7,2,0.5838541522452637,0.0037674730902918147,50,0.000532801154016636,0.0010442902618726065
5,7,5,9,0.3,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,5,9,0.3,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,5,9,0.5,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,5,9,0.5,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,5,9,0.7,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,5,9,0.7,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,5,12,0.3,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,5,12,0.3,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,5,12,0.5,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,5,12,0.5,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,5,12,0.7,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,5,12,0.7,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,9,5,0.3,1,0.8721357080889126,0.0027024379046621397,50,0.0003821824336244327,0.0007490775699038881
5,7,9,5,0.3,2,0.006260717537469072,0.001748069471661312,50,0.0002472143554793798,0.00048454013673958444
5,7,9,5,0.5,1,0.8715872593636638,0.0028244476702027114,50,0.0003994372201413765,0.0007828969514770979
5,7,9,5,0.5,2,1.0920607185759529e-06,7.722035395725101e-06,50,1.0920607185759529e-06,2.140439008408868e-06
5,7,9,5,0.7,1,0.8716485451118087,0.0023174057312482722,50,0.00032773066146524465,0.0006423520964718795
5,7,9,5,0.7,2,0.0,0.0,50,0.0,0.0
5,7,9,9,0.3,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,9,9,0.3,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,9,9,0.5,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,9,9,0.5,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,9,9,0.7,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,9,9,0.7,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,12,12,0.3,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,12,12,0.3,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,12,12,0.5,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,12,12,0.5,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,7,12,12,0.7,1,0.8715048726743785,0.0028710594143121076,50,0.00040602911620991373,0.0007958170677714309
5,7,12,12,0.7,2,0.16813562853812175,0.007220132856649431,50,0.0010210809808009222,0.0020013187223698074
5,10,5,9,0.3,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,5,9,0.3,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
5,10,5,9,0.5,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,5,9,0.5,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
5,10,5,9,0.7,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,5,9,0.7,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
5,10,5,12,0.3,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,5,12,0.3,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
5,10,5,12,0.5,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,5,12,0.5,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
5,10,5,12,0.7,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,5,12,0.7,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
5,10,9,5,0.3,1,0.8722272891335394,0.00284411054589166,50,0.00040221797068883326,0.0007883472225501132
5,10,9,5,0.3,2,0.0,0.0,50,0.0,0.0
5,10,9,5,0.5,1,0.8716264564461347,0.0028617444412340487,50,0.0004047117800839006,0.0007932350889644452
5,10,9,5,0.5,2,0.0,0.0,50,0.0,0.0
5,10,9,5,0.7,1,0.8716485451118087,0.0023174057312482722,50,0.00032773066146524465,0.0006423520964718795
5,10,9,5,0.7,2,0.0,0.0,50,0.0,0.0
5,10,9,9,0.3,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,9,9,0.3,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
5,10,9,9,0.5,1,0.871966143969797,0.002801907387277016,50,0.000396249542760052,0.000776649103809702
5,10,9,9,0.5,2,0.011375950900124172,0.004074953677801521,50,0.0005762854757189033,0.0011295195324090505
