h1,h2,tau1,tau2,balk_high,mean,std,n,se,ci95,metric
5,14,9,5,0.3,0.9976352739726028,0.0013426062857556972,50,0.00018987320182430742,0.00037215147557564254,average_utilization
5,14,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
5,14,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
5,14,9,9,0.3,0.8405667808219178,0.003419485628530346,50,0.00048358829522075026,0.0009478330586326705,average_utilization
5,14,9,9,0.5,0.8405205479452055,0.0036417361805451648,50,0.0005150192697111766,0.001009437768633906,average_utilization
5,14,9,9,0.7,0.8406815068493151,0.0034547687284112887,50,0.0004885780790581697,0.0009576130349540125,average_utilization
5,14,12,12,0.3,0.842138698630137,0.003282615265506789,50,0.0004642319028532659,0.0009098945295924011,average_utilization
5,14,12,12,0.5,0.842138698630137,0.003282615265506789,50,0.0004642319028532659,0.0009098945295924011,average_utilization
5,14,12,12,0.7,0.842138698630137,0.003282615265506789,50,0.0004642319028532659,0.0009098945295924011,average_utilization
7,2,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,2,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,2,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,2,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,2,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,2,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,2,9,5,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,2,9,5,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,2,9,5,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,2,9,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,2,9,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,2,9,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,2,12,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,2,12,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,2,12,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,5,5,9,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,5,5,9,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,5,5,9,0.7,1.0,0.0,50,0.0,0.0,average_utilization
7,5,5,12,0.3,1.0,0.0,50,0.0,0.0,average_utilization
7,5,5,12,0.5,1.0,0.0,50,0.0,0.0,average_utilization
7,5,5,12,0.7,1.0,0.0,50,0.0,0.0,average_utilization
