h1,h2,tau1,tau2,balk_high,weight_regime,w1,w2,obj_professor_mean,obj_professor_std,obj_pooled_mean,obj_pooled_std,c1_served_rate_mean,c1_served_rate_std,c2_served_rate_mean,c2_served_rate_std,obj_professor_se,obj_professor_ci95,obj_pooled_se,obj_pooled_ci95,c1_served_rate_se,c1_served_rate_ci95,c2_served_rate_se,c2_served_rate_ci95
2.0,5.0,9.0,9.0,0.3,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,9.0,0.3,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,9.0,0.5,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,9.0,0.5,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,9.0,0.7,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,9.0,9.0,0.7,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,12.0,12.0,0.3,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,12.0,12.0,0.3,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,12.0,12.0,0.5,equal,1.0,1.0,0.6406489286832806,0.005126597728758433,0.3201747171541543,0.00175768609994618,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007250104036841281,0.001421020391220891,0.0002485743520938559,0.0004872057301039576,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
2.0,5.0,12.0,12.0,0.5,priority,2.0,1.0,0.6724609615001286,0.005203378872823713,0.22402323502932187,0.001230398925052124,0.03181203281684801,0.0012249371387273163,0.6088368958664325,0.005337583614196676,0.0007358688972112923,0.001442303038534133,0.00017400468469379912,0.00034104918199984624,0.0001732322714642664,0.00033953525206996215,0.0007548483137497341,0.0014795026949494788
