selection_objective,comparison,factor,contrast,fixed_other_level,effect_average_utilization,effect_priority_weighted_utilization,effect_class_1_percent_serviced,effect_class_2_percent_serviced,effect_class_1_slot_utilization,effect_class_2_slot_utilization,n_rows
average_utilization,both_flexible_vs_reservation_only,balking,medium_to_high,medium,-4.325722983255749e-05,0.00010923896499238922,-0.0029517905447664756,-0.0005904765464313263,0.000293850837138509,-0.000369223744292237,60
average_utilization,both_flexible_vs_reservation_only,balking,medium_to_high,high,-2.6971080669705253e-05,0.00015220700152207035,-0.0005269016974838419,-0.0010789652677559095,0.00035914764079147667,-0.00041388127853881246,60
average_utilization,both_flexible_vs_reservation_only,balking,low_to_high,low,1.3363774733678256e-05,0.002778554033485537,0.008351258916467937,-0.00873798932787734,0.005546697108066972,-0.0055362861491628675,60
average_utilization,both_flexible_vs_reservation_only,balking,low_to_high,medium,-0.0001410654490106248,0.001231719939117199,0.00172808482983935,-0.004367430802213663,0.0026486149162861508,-0.0028337899543379006,60
average_utilization,both_flexible_vs_reservation_only,balking,low_to_high,high,-0.00014359208523591333,0.00038182648401826393,0.00011203305612932886,-0.002020763336113053,0.0009417047184170482,-0.001119756468797565,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_low_to_medium__x__BK_low_to_medium,,-0.00011933028919333345,0.005223044140030444,0.007875883328729974,-0.01049466383123217,0.010569863013698631,-0.010693637747336374,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_low_to_medium__x__BK_medium_to_high,,-3.509893455096965e-05,-0.006769878234398783,-0.014499057415358563,0.014865222356895845,-0.013467945205479451,0.013396133942161343,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_low_to_medium__x__BK_low_to_high,,-0.0001544292237443031,-0.0015468340943683384,-0.006623174086628588,0.004370558525663678,-0.002898082191780821,0.0027024961948249665,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_medium_to_high__x__BK_low_to_medium,,-1.8812785388140728e-05,-0.0008928614916286163,-0.004040940620992655,0.002835156187425193,-0.0017722070015220707,0.0017586910197869108,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_medium_to_high__x__BK_medium_to_high,,1.6286149162852246e-05,4.29680365296812e-05,0.0024248888472826334,-0.0004884887213245833,6.52968036529676e-05,-4.4657534246575455e-05,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_medium_to_high__x__BK_low_to_high,,-2.5266362252884813e-06,-0.000849893455098935,-0.0016160517737100208,0.00234666746610061,-0.001706910197869103,0.0017140334855403352,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_low_to_high__x__BK_low_to_medium,,-0.00013814307458147416,0.004330182648401828,0.00383494270773732,-0.007659507643806975,0.00879765601217656,-0.008934946727549463,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_low_to_high__x__BK_medium_to_high,,-1.8812785388117408e-05,-0.006726910197869102,-0.012074168568075928,0.014376733635571261,-0.013402648401826483,0.013351476407914765,60
average_utilization,both_flexible_vs_reservation_only,interaction,NS_low_to_high__x__BK_low_to_high,,-0.00015695585996959157,-0.0023967275494672733,-0.008239225860338607,0.006717225991764288,-0.004604992389649924,0.004416529680365302,60
