selection_objective,comparison,noshow_level,balk_level,rho,delta_average_utilization,delta_priority_weighted_utilization,delta_class_1_percent_serviced,delta_class_2_percent_serviced,delta_class_1_slot_utilization,delta_class_2_slot_utilization,n_rows
average_utilization,both_flexible_vs_horizon_only,low,low,1.4,-6.995433789953598e-05,0.028860182648401827,0.10206327735373556,-0.13489485664315976,0.05789351598173517,-0.05806666666666667,100
average_utilization,both_flexible_vs_reservation_only,low,low,1.4,-4.803652968040861e-05,0.0016284931506849287,0.005820711556191068,0.02042265784132927,0.0033368036529680366,-0.0034166210045662084,100
average_utilization,reservation_only_vs_horizon_only,low,low,1.4,-2.1917808219127367e-05,0.027231689497716895,0.09624256579754448,-0.15531751448448902,0.05455671232876713,-0.05465004566210045,100
priority_weighted_utilization,horizon_only_vs_baseline,low,low,1.4,-0.00027780821917817165,-0.00031360730593607333,-9.648396838910056e-05,-0.000958934631756787,-0.00025278538812784995,-0.00012164383561644107,100
priority_weighted_utilization,reservation_only_vs_baseline,low,low,1.4,-0.0007408219178082265,0.03872794520547945,0.1337632567857135,-0.20691929766224706,0.07828803652968037,-0.07912018264840183,100
priority_weighted_utilization,both_flexible_vs_baseline,low,low,1.4,-0.000730958904109662,0.03879452054794521,0.13346879648684465,-0.2071788603748375,0.07840401826484018,-0.07921899543378996,100
priority_weighted_utilization,both_flexible_vs_horizon_only,low,low,1.4,-0.00045315068493149036,0.039108127853881285,0.13356528045523372,-0.20621992574308068,0.07865680365296805,-0.07909735159817352,100
priority_weighted_utilization,both_flexible_vs_reservation_only,low,low,1.4,9.86301369856446e-06,6.657534246575448e-05,-0.0002944602988688372,-0.0002595627125904099,0.00011598173515981746,-9.881278538812987e-05,100
priority_weighted_utilization,reservation_only_vs_horizon_only,low,low,1.4,-0.0004630136986300548,0.03904155251141553,0.13385974075410256,-0.20596036303049026,0.07854082191780823,-0.07899853881278539,100
average_utilization,horizon_only_vs_baseline,low,low,1.7,-0.0001375342465752416,-0.00028757990867579796,-0.0005650680636749539,0.0006780143015870277,-0.00039470319634703265,0.00021424657534246868,100
average_utilization,reservation_only_vs_baseline,low,low,1.7,-5.844748858447546e-05,0.037894520547945204,0.1463641165839532,-0.10525118119313728,0.07590703196347032,-0.07602502283105023,100
average_utilization,both_flexible_vs_baseline,low,low,1.7,0.0005609132420092799,0.046829680365296805,0.15277529383299515,-0.1622232438150333,0.09310703196347032,-0.09255470319634704,100
average_utilization,both_flexible_vs_horizon_only,low,low,1.7,0.0006984474885845215,0.0471172602739726,0.15334036189667008,-0.16290125811662035,0.09350173515981736,-0.09276894977168951,100
average_utilization,both_flexible_vs_reservation_only,low,low,1.7,0.0006193607305937554,0.008935159817351601,0.0064111772490419335,-0.05697206262189601,0.017200000000000007,-0.016529680365296815,100
average_utilization,reservation_only_vs_horizon_only,low,low,1.7,7.908675799076615e-05,0.038182100456621,0.14692918464762816,-0.10592919549472431,0.07630173515981736,-0.0762392694063927,100
priority_weighted_utilization,horizon_only_vs_baseline,low,low,1.7,0.00021990867579916752,0.0002795433789954338,0.0005391581515337729,0.0003172036245107579,0.00029716894977168935,-3.5251141552511e-05,100
priority_weighted_utilization,reservation_only_vs_baseline,low,low,1.7,-0.00016219178082184095,0.06533141552511415,0.19439072934115553,-0.24438048980294927,0.13084566210045664,-0.13102849315068493,100
priority_weighted_utilization,both_flexible_vs_baseline,low,low,1.7,-1.60730593607461e-05,0.06502310502283104,0.19470937018673273,-0.24385809516948548,0.1301696803652968,-0.13029315068493152,100
priority_weighted_utilization,both_flexible_vs_horizon_only,low,low,1.7,-0.00023598173515991362,0.06474356164383561,0.19417021203519894,-0.24417529879399627,0.1298725114155251,-0.13025789954337902,100
priority_weighted_utilization,both_flexible_vs_reservation_only,low,low,1.7,0.00014611872146109484,-0.0003083105022831001,0.0003186408455771805,0.0005223946334637662,-0.000675981735159821,0.0007353424657534284,100
priority_weighted_utilization,reservation_only_vs_horizon_only,low,low,1.7,-0.00038210045662100844,0.06505187214611871,0.19385157118962176,-0.24469769342746,0.13054849315068492,-0.13099324200913243,100
average_utilization,horizon_only_vs_baseline,low,low,2.0,0.0001490410958904098,0.00015515981735160224,-0.0006822448716226803,-2.4945366519579792e-05,8.712328767122995e-05,0.00013607305936072845,100
average_utilization,reservation_only_vs_baseline,low,low,2.0,2.611872146119576e-05,0.04895242009132421,0.11103523717145493,-0.13261820181095613,0.09790301369863012,-0.09790118721461188,100
average_utilization,both_flexible_vs_baseline,low,low,2.0,0.000155251141552597,0.05511899543378996,0.1777174837947745,-0.11890553122408036,0.11020858447488585,-0.1101791780821918,100
average_utilization,both_flexible_vs_horizon_only,low,low,2.0,6.210045662187191e-06,0.054963835616438354,0.1783997286663972,-0.11888058585756077,0.11012146118721462,-0.11031525114155252,100
average_utilization,both_flexible_vs_reservation_only,low,low,2.0,0.00012913242009140124,0.006166575342465753,0.06668224662331959,0.013712670586875768,0.012305570776255714,-0.012277990867579905,100
average_utilization,reservation_only_vs_horizon_only,low,low,2.0,-0.00012292237442921406,0.048797260273972604,0.1117174820430776,-0.13259325644443654,0.0978158904109589,-0.09803726027397261,100
priority_weighted_utilization,horizon_only_vs_baseline,low,low,2.0,3.0319634703224185e-05,0.0003273059360730546,0.00014258208640280823,-0.00019807054967139415,0.0005638356164383504,-0.00047305936073059385,100
priority_weighted_utilization,reservation_only_vs_baseline,low,low,2.0,-0.0003011872146118311,0.08409013698630137,0.2259398584593913,-0.24314555824933082,0.1685936073059361,-0.1690069406392694,100
priority_weighted_utilization,both_flexible_vs_baseline,low,low,2.0,-0.00016273972602743215,0.08445936073059361,0.22670696359034717,-0.2433972214212035,0.16917735159817351,-0.16943598173515984,100
priority_weighted_utilization,both_flexible_vs_horizon_only,low,low,2.0,-0.00019305936073065632,0.08413205479452056,0.2265643815039444,-0.24319915087153213,0.16861351598173516,-0.16896292237442925,100
priority_weighted_utilization,both_flexible_vs_reservation_only,low,low,2.0,0.00013844748858439892,0.0003692237442922408,0.000767105130955883,-0.000251663171872699,0.0005837442922374414,-0.00042904109589041677,100
priority_weighted_utilization,reservation_only_vs_horizon_only,low,low,2.0,-0.00033150684931505526,0.08376283105022832,0.22579727637298852,-0.24294748769965943,0.1680297716894977,-0.16853388127853883,100
average_utilization,horizon_only_vs_baseline,low,low,2.5,-9.899543379010445e-05,0.0004621004566210052,0.0014989331329429262,-0.0019754321185995265,0.0009576255707762534,-0.0009910502283105016,100
average_utilization,reservation_only_vs_baseline,low,low,2.5,-0.0001994520547945289,0.034571506849315065,0.06341935676840174,-0.07467363611526606,0.0693013698630137,-0.06945972602739726,100
average_utilization,both_flexible_vs_baseline,low,low,2.5,4.621004566201292e-05,0.04016520547945206,0.14138794471661265,-0.06045583846045502,0.08018465753424658,-0.08003890410958904,100
