background_id,selection_objective,comparison,first_policy,second_policy,n_paired_seeds,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,delta_priority_weighted_utilization,delta_priority_weighted_utilization_ci_low,delta_priority_weighted_utilization_ci_high,delta_class_1_percent_serviced,delta_class_1_percent_serviced_ci_low,delta_class_1_percent_serviced_ci_high,delta_class_2_percent_serviced,delta_class_2_percent_serviced_ci_low,delta_class_2_percent_serviced_ci_high,delta_class_1_slot_utilization,delta_class_1_slot_utilization_ci_low,delta_class_1_slot_utilization_ci_high,delta_class_2_slot_utilization,delta_class_2_slot_utilization_ci_low,delta_class_2_slot_utilization_ci_high,design_note,patient_characteristic,class2_reference,profile_id,noshow_level,noshow_level_code,balk_level,balk_level_code,clinic_context_id,open_horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PBF_NS_HIGH_BK_HIGH_C002,priority_weighted_utilization,both_flexible_vs_baseline,both_flexible,baseline,10,-0.00019178082191795287,-0.0012936986301372955,0.0008110958904108516,0.0038219178082191884,0.003372602739726027,0.004257602739726051,0.06032458502144433,0.05237051278926495,0.06904132771324753,-0.003230456702124962,-0.00758419617986145,0.0012743515498129328,0.0071890410958904,0.0060109589041095965,0.00861383561643835,-0.006734246575342451,-0.009222054794520552,-0.004586301369862999,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,priority_weighted_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,10,0.00014794520547934954,-0.0017479452054796963,0.00204410958904145,0.003967123287671237,0.002988972602739725,0.004991780821917824,0.06281497698970737,0.05595889957306897,0.07008508479391945,-0.0055429137390461845,-0.009660218304940741,-0.0014856243406116782,0.007452054794520549,0.006191506849315071,0.008684931506849288,-0.006969863013698618,-0.00961643835616438,-0.004229999999999957,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,priority_weighted_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,10,0.0016109589041095607,4.369863013657855e-05,0.0031563013698628645,0.0006657534246575336,-0.0007534246575342413,0.0018360273972602764,-0.007038565689556031,-0.015491075652267915,0.0009747779939667182,0.0011566818286423586,-0.0031499491086263254,0.005095121619330092,-0.00041643835616439196,-0.0031672602739726313,0.001633013698630127,0.0021643835616438345,-0.0006905479452054786,0.005304520547945224,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C002,priority_weighted_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,10,-0.0014630136986302112,-0.0026520547945208814,-0.00037794520547900797,0.003301369863013703,0.0019806849315068477,0.00490431506849317,0.0698535426792634,0.05889779727850359,0.08065862446169218,-0.006699595567688543,-0.01054719186186305,-0.002598705102431401,0.007868493150684941,0.00588493150684933,0.010471506849315061,-0.009134246575342453,-0.011561917808219182,-0.0070121917808219384,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C002,100,1.2,0.1,50,6.0,54.0,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,average_utilization,horizon_only_vs_baseline,horizon_only,baseline,10,0.0008767123287671374,-0.0003561643835613543,0.002063926940639063,0.0008219178082191747,-0.0012465753424657506,0.0029865296803653018,-0.0017659773089195863,-0.01083462382522665,0.005621528272366778,-0.0009822490277439978,-0.008832126186900543,0.006983652686414272,0.0011598173515981636,-0.002530136986301388,0.004758219178082185,-0.0006757990867580221,-0.003872146118721487,0.0026216894977168733,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,average_utilization,reservation_only_vs_baseline,reservation_only,baseline,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,average_utilization,both_flexible_vs_baseline,both_flexible,baseline,10,0.0008219178082190636,-0.00044771689497724755,0.002136986301369555,0.002132420091324194,0.0005158675799086682,0.003694178082191779,0.004682715832654849,-0.0024158853962806567,0.010700648125869336,0.00033215662044349114,-0.006582101001714732,0.006699749722766018,0.004063926940639273,0.001917579908675802,0.006192009132420112,-0.0038630136986301357,-0.0055162100456621075,-0.002383333333333326,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,average_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,10,-5.4794520548073766e-05,-0.001525342465753711,0.0013700913242007933,0.0013105022831050195,-0.000794748858447493,0.0032010273972602806,0.0064486931415744355,0.0014628763528914805,0.011196595028726178,0.0013144056481874888,-0.0030805431007542173,0.0053322944566068595,0.0029041095890411095,-0.0005575342465753394,0.005945662100456645,-0.0031872146118721136,-0.006128310502283088,0.00023858447488587386,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,average_utilization,both_flexible_vs_reservation_only,both_flexible,reservation_only,10,0.0008219178082190636,-0.0004566210045659652,0.002127853881278165,0.002132420091324194,0.0004655251141552508,0.0037763698630136843,0.004682715832654849,-0.0029428445708332526,0.011364285285125352,0.00033215662044349114,-0.007225570842429908,0.007024764327070238,0.004063926940639273,0.0017808219178082172,0.006301826484018265,-0.0038630136986301357,-0.005461415525114157,-0.0024746575342465813,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,average_utilization,reservation_only_vs_horizon_only,reservation_only,horizon_only,10,-0.0008767123287671374,-0.0020091324200912893,0.0003287671232875441,-0.0008219178082191747,-0.003050570776255714,0.0012832191780822067,0.0017659773089195863,-0.005881361355569595,0.010898375647982392,0.0009822490277439978,-0.007454848140324679,0.008655966826908341,-0.0011598173515981636,-0.004758219178082202,0.002558219178082201,0.0006757990867580221,-0.00272146118721458,0.00391780821917811,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,priority_weighted_utilization,horizon_only_vs_baseline,horizon_only,baseline,10,0.0008767123287671374,-0.0003107305936071247,0.002000228310502322,0.0008219178082191747,-0.001251255707762556,0.0030002283105022734,-0.0017659773089195863,-0.010858095118368938,0.005435041308520945,-0.0009822490277439978,-0.00891912230470557,0.006651279029447368,0.0011598173515981636,-0.0025296803652968105,0.004748858447488585,-0.0006757990867580221,-0.00387237442922377,0.002584703196346994,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,priority_weighted_utilization,reservation_only_vs_baseline,reservation_only,baseline,10,-0.005086757990867585,-0.006557305936072802,-0.003442009132420375,0.010995433789954333,0.009643036529680377,0.01243390410958901,0.06638922985677694,0.060040201014384176,0.0728317251256708,-0.03909268629160313,-0.047137178489574744,-0.030223957847840554,0.027178082191780823,0.02437420091324204,0.029881278538812766,-0.032365296803652965,-0.03568036529680365,-0.02860228310502284,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,priority_weighted_utilization,both_flexible_vs_baseline,both_flexible,baseline,10,-0.005086757990867585,-0.0067123287671229945,-0.0034429223744294425,0.010995433789954333,0.009625228310502306,0.012351598173515966,0.06638922985677694,0.06023654899065682,0.07302391956795252,-0.03909268629160313,-0.0470334182264932,-0.03006259974980531,0.027178082191780823,0.024301141552511434,0.02983561643835612,-0.032365296803652965,-0.03575365296803652,-0.028347031963470326,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
PBF_NS_HIGH_BK_HIGH_C003,priority_weighted_utilization,both_flexible_vs_horizon_only,both_flexible,horizon_only,10,-0.0059634703196347226,-0.007863470319634535,-0.003835616438356545,0.01017351598173516,0.008145890410958898,0.012192465753424643,0.06815520716569652,0.06427687456860384,0.07356607632513845,-0.03811043726385913,-0.04341938706993178,-0.03359053302029691,0.02601826484018266,0.022045662100456664,0.030374657534246553,-0.03168949771689494,-0.03663105022831047,-0.02685799086757986,class1_balk_noshow_3x3_factorial,balk_noshow_factorial,fixed_late_thresholds,NS_HIGH_BK_HIGH,high,2,high,2,C003,100,1.2,0.3,30,10.8,25.2,0.2,0.2,5,0.05,0.3,16,0.05,0.15,3,0.05,0.25,14,0.05,0.15,False
