selection_objective,policy,noshow_level,balk_level,rho,average_utilization,priority_weighted_utilization,class_1_percent_serviced,class_2_percent_serviced,class_1_slot_utilization,class_2_slot_utilization,n_rows
priority_weighted_utilization,baseline,low,high,1.2,0.9489302283105008,0.7116561643835617,0.7902554977926461,0.7890977423861216,0.47438356164383555,0.474545205479452,10
priority_weighted_utilization,horizon_only,low,high,1.2,0.9489483105022817,0.7116044748858448,0.7894785291425073,0.7890950816896702,0.47429716894977164,0.47461461187214604,10
priority_weighted_utilization,reservation_only,low,high,1.2,0.9456432876712315,0.7254415525114155,0.849277150030157,0.6824265449788265,0.5052096803652968,0.44046374429223745,10
priority_weighted_utilization,both_flexible,low,high,1.2,0.9459353424657522,0.7254992694063926,0.8475081161966692,0.6815566949273617,0.5049881278538813,0.4410222831050228,10
average_utilization,baseline,low,high,1.4,0.9499609132420078,0.7125932420091324,0.6783244110639987,0.6781945431221205,0.4750814611872146,0.47502356164383563,10
average_utilization,horizon_only,low,high,1.4,0.9497388127853867,0.7120524200913242,0.6774481829302202,0.6773821751559361,0.4743037442922374,0.4754973515981735,10
average_utilization,reservation_only,low,high,1.4,0.9497168949771677,0.7392841095890411,0.7736907487277648,0.5220646606714471,0.5288604566210046,0.420847305936073,10
average_utilization,both_flexible,low,high,1.4,0.9496688584474873,0.740912602739726,0.7795114602839558,0.5424873185127763,0.5321972602739725,0.41743068493150687,10
priority_weighted_utilization,baseline,low,high,1.4,0.9499609132420078,0.7125932420091324,0.6783244110639987,0.6781945431221205,0.4750814611872146,0.47502356164383563,10
priority_weighted_utilization,horizon_only,low,high,1.4,0.9496831050228296,0.7122796347031963,0.6782279270956095,0.6772356084903637,0.4748286757990868,0.4749019178082191,10
priority_weighted_utilization,reservation_only,low,high,1.4,0.9492200913241996,0.7513211872146119,0.8120876678497121,0.47127524545987337,0.553369497716895,0.39590337899543376,10
priority_weighted_utilization,both_flexible,low,high,1.4,0.9492299543378981,0.7513877625570776,0.8117932075508433,0.471015682747283,0.5534854794520548,0.39580456621004567,10
average_utilization,baseline,low,high,1.7,0.9495729680365284,0.7122542465753424,0.558694289939681,0.5581032068181812,0.47486356164383564,0.47478136986301367,10
average_utilization,horizon_only,low,high,1.7,0.949435433789953,0.7119666666666667,0.5581292218760059,0.5587812211197682,0.47446885844748854,0.4749956164383562,10
average_utilization,reservation_only,low,high,1.7,0.9495145205479438,0.7501487671232876,0.705058406523634,0.4528520256250439,0.550770593607306,0.39875634703196344,10
average_utilization,both_flexible,low,high,1.7,0.9501338812785376,0.7590839269406393,0.7114695837726761,0.39587996300314787,0.567970593607306,0.38222666666666666,10
priority_weighted_utilization,baseline,low,high,1.7,0.9495729680365284,0.7122542465753424,0.558694289939681,0.5581032068181812,0.47486356164383564,0.47478136986301367,10
priority_weighted_utilization,horizon_only,low,high,1.7,0.9497928767123274,0.7125337899543379,0.5592334480912147,0.558420410442692,0.4751607305936073,0.4747461187214612,10
priority_weighted_utilization,reservation_only,low,high,1.7,0.9494107762557065,0.7775856621004567,0.7530850192808365,0.3137227170152319,0.6057092237442923,0.3437528767123287,10
priority_weighted_utilization,both_flexible,low,high,1.7,0.9495568949771676,0.7772773515981735,0.7534036601264137,0.3142451116486957,0.6050332420091323,0.34448821917808214,10
average_utilization,baseline,low,high,2.0,0.9500953424657521,0.7126350684931506,0.47501598765757225,0.47507187950504076,0.4751979908675799,0.4748741552511415,10
average_utilization,horizon_only,low,high,2.0,0.9499548858447474,0.712528401826484,0.47473174883079655,0.4745517042153894,0.4750443835616438,0.47496803652968034,10
average_utilization,reservation_only,low,high,2.0,0.9500621004566195,0.7465913242009132,0.5674123887324167,0.3536435317616494,0.5430725114155251,0.4070376255707762,10
average_utilization,both_flexible,low,high,2.0,0.950043835616437,0.7645241095890412,0.6433207380560017,0.36246003466696336,0.57894100456621,0.3711662100456621,10
priority_weighted_utilization,baseline,low,high,2.0,0.9500953424657521,0.7126350684931506,0.47501598765757225,0.47507187950504076,0.4751979908675799,0.4748741552511415,10
