selection_objective,policy,noshow_level,balk_level,rho,average_utilization,priority_weighted_utilization,class_1_percent_serviced,class_2_percent_serviced,class_1_slot_utilization,class_2_slot_utilization,n_rows
priority_weighted_utilization,baseline,high,low,1.4,0.9499599999999987,0.7125923287671233,0.6783234886398681,0.6781945431221205,0.4750805479452055,0.47502356164383563,10
priority_weighted_utilization,horizon_only,high,low,1.4,0.9496831050228296,0.7122796347031963,0.6782279270956095,0.6772356084903637,0.4748286757990868,0.4749019178082191,10
priority_weighted_utilization,reservation_only,high,low,1.4,0.9492200913241996,0.7513211872146119,0.8120876678497121,0.47127524545987337,0.553369497716895,0.39590337899543376,10
priority_weighted_utilization,both_flexible,high,low,1.4,0.9492299543378981,0.7513877625570776,0.8117932075508433,0.471015682747283,0.5534854794520548,0.39580456621004567,10
average_utilization,baseline,high,low,1.7,0.9414343378995422,0.7041360730593607,0.5488741296733257,0.5581032068181812,0.4667453881278538,0.47478136986301367,10
average_utilization,horizon_only,high,low,1.7,0.9494885844748845,0.7119980821917808,0.5581641760546983,0.5588111366886509,0.4745207305936073,0.474954703196347,10
average_utilization,reservation_only,high,low,1.7,0.949330045662099,0.765433789954338,0.7296313504893366,0.3647202237960735,0.5815375342465753,0.3677925114155251,10
average_utilization,both_flexible,high,low,1.7,0.9498820091324187,0.7594378082191782,0.7116009775859048,0.3875538545008691,0.5689490410958904,0.3809775342465753,10
priority_weighted_utilization,baseline,high,low,1.7,0.9414343378995422,0.7041360730593607,0.5488741296733257,0.5581032068181812,0.4667453881278538,0.47478136986301367,10
priority_weighted_utilization,horizon_only,high,low,1.7,0.9497523287671219,0.7123405479452054,0.5592533300083348,0.5589416000441005,0.4749687671232876,0.4747435616438356,10
priority_weighted_utilization,reservation_only,high,low,1.7,0.9492641095890398,0.7774393607305936,0.7529897908362784,0.3137227170152319,0.6055629223744292,0.3437528767123287,10
priority_weighted_utilization,both_flexible,high,low,1.7,0.9495861187214597,0.7773056621004566,0.7531761075878192,0.31439074639149855,0.6050423744292237,0.3445265753424657,10
average_utilization,baseline,high,low,2.0,0.9099389954337894,0.6723415525114155,0.43528617290381194,0.475148064209859,0.4345954337899543,0.47549223744292235,10
average_utilization,horizon_only,high,low,2.0,0.9498728767123275,0.7125229223744293,0.47560992200073837,0.47528110118416816,0.47513936073059354,0.47476712328767123,10
average_utilization,reservation_only,high,low,2.0,0.9392171689497706,0.7806702283105024,0.6842002034664795,0.246278875245799,0.6220670319634702,0.3172063926940639,10
average_utilization,both_flexible,high,low,2.0,0.9499210958904097,0.7714289497716895,0.659322988216114,0.34863066115126745,0.5929510502283105,0.35695579908675795,10
priority_weighted_utilization,baseline,high,low,2.0,0.9099389954337894,0.6723415525114155,0.43528617290381194,0.475148064209859,0.4345954337899543,0.47549223744292235,10
priority_weighted_utilization,horizon_only,high,low,2.0,0.9496600913241995,0.7126553424657535,0.4757117112856545,0.47452090020555493,0.47558648401826487,0.47413771689497713,10
priority_weighted_utilization,reservation_only,high,low,2.0,0.9392239269406382,0.785971598173516,0.6953178169915246,0.23200250596052827,0.6327289497716895,0.30648529680365294,10
priority_weighted_utilization,both_flexible,high,low,2.0,0.9496301369862999,0.7967041095890411,0.7014809901166975,0.2312364239334236,0.6437307762557077,0.30594666666666664,10
average_utilization,baseline,high,low,2.5,0.9097402739726022,0.6713084931506849,0.34568488920101725,0.38309155610978884,0.43280292237442924,0.4770111415525114,10
average_utilization,horizon_only,high,low,2.5,0.9500860273972588,0.7125895890410958,0.3792562543593616,0.3795985037871901,0.4750283105022831,0.4751225570776255,10
average_utilization,reservation_only,high,low,2.5,0.9269826484018256,0.7654021004566209,0.5802570733494947,0.2654619880662634,0.603891506849315,0.32302118721461187,10
average_utilization,both_flexible,high,low,2.5,0.9499873972602726,0.7883692237442922,0.5825762707967237,0.249568001839031,0.6266675799086758,0.32340328767123283,10
priority_weighted_utilization,baseline,high,low,2.5,0.9097402739726022,0.6713084931506849,0.34568488920101725,0.38309155610978884,0.43280292237442924,0.4770111415525114,10
priority_weighted_utilization,horizon_only,high,low,2.5,0.9500635616438341,0.7124902283105022,0.379416238060486,0.3802550443133123,0.47485388127853884,0.47527269406392686,10
priority_weighted_utilization,reservation_only,high,low,2.5,0.923371872146118,0.7925984474885845,0.6170677761326783,0.15802459011661416,0.6616533333333333,0.2618902283105023,10
priority_weighted_utilization,both_flexible,high,low,2.5,0.9497042922374417,0.8193641095890412,0.631177444997572,0.1554494119308141,0.6889886757990868,0.2607508675799086,10
average_utilization,baseline,high,low,3.0,0.9097768036529674,0.6716053881278539,0.2885953562708146,0.3189932022999749,0.4333426484018264,0.4765254794520547,10
average_utilization,horizon_only,high,low,3.0,0.9499499543378983,0.7128802739726028,0.31730738540917347,0.3160706941341483,0.47588474885844745,0.4739910502283105,10
average_utilization,reservation_only,high,low,3.0,0.9271499543378987,0.7796405479452055,0.5240128226170864,0.20679605898740222,0.6321506849315068,0.29497972602739725,10
