class1_high_balk,seed,average_utilization,overall_percent_serviced,total_served,mean_accepted_booking_delay,mean_offered_booking_delay,overall_balking_rate,total_arrivals,total_booked,total_offered,total_balked
0.0,63,0.8385273972602739,0.2678963548528766,9760,9.471672221133112,9.970938042659153,0.16434586022738443,36432,25505,30521,5016
0.0,64,0.8415239726027397,0.2670479302832244,9806,9.435789065529274,9.932321788290338,0.1620638118136331,36720,25790,30778,4988
0.0,65,0.8395547945205479,0.2692793584532572,9805,9.450309712104094,9.947121187408253,0.16264883379546566,36412,25669,30655,4986
0.0,66,0.8389554794520548,0.26780712834312703,9753,9.50140625,10.005851755526658,0.16775032509752927,36418,25600,30760,5160
0.0,67,0.8358732876712329,0.26668858027227654,9736,9.428394055794824,9.940038245875604,0.1646517356496937,36507,25773,30853,5080
0.0,68,0.84375,0.26845527566799626,9826,9.453722491025442,9.95883887801696,0.16412263535551208,36602,25628,30660,5032
0.0,69,0.8422945205479452,0.26964565092086845,9824,9.466789019485336,9.965174129353233,0.161789735532862,36433,25609,30552,4943
0.0,70,0.8467465753424658,0.26913620717915093,9852,9.386127122906109,9.888372848327379,0.16047417992854823,36606,25849,30790,4941
0.0,71,0.8436643835616439,0.2672071385820774,9822,9.412963829123791,9.927132894479568,0.1639183992700254,36758,25656,30686,5030
0.0,72,0.8446917808219178,0.27087346579338434,9843,9.435260744540297,9.937629937629938,0.16404625779625778,36338,25734,30784,5050
0.0,73,0.8466609589041096,0.2699843797100655,9852,9.417041401767715,9.92677471636953,0.16382495948136142,36491,25796,30850,5054
0.0,74,0.8395547945205479,0.26718703092164514,9790,9.436000311623559,9.94877462133524,0.16557238510043554,36641,25672,30766,5094
0.0,75,0.8450342465753424,0.27164335279215773,9865,9.447580488184684,9.949381107491856,0.1632899022801303,36316,25687,30700,5013
0.0,76,0.843236301369863,0.26894498169698955,9845,9.461878323428214,9.964973558790886,0.16511066135666252,36606,25576,30634,5058
0.0,77,0.8375856164383562,0.26719019344953077,9765,9.44915751202158,9.965655055887705,0.16886534962308292,36547,25579,30776,5197
0.0,78,0.8417808219178082,0.26585299701654463,9802,9.440278480028004,9.956297950859474,0.16768638114661227,36870,25711,30891,5180
0.0,79,0.8357876712328767,0.2665318614056181,9754,9.447767596022617,9.947467962304758,0.16375908957511331,36596,25645,30667,5022
0.0,80,0.8396404109589041,0.2697130887743571,9786,9.466272328423692,9.97140052356021,0.16465968586387433,36283,25528,30560,5032
0.0,81,0.8355308219178083,0.2677228048981385,9751,9.462311949489438,9.958424507658643,0.16202358012998466,36422,25658,30619,4961
0.0,82,0.8394691780821918,0.26652510072960905,9790,9.433480073240094,9.937801696020873,0.16278538812785387,36732,25669,30660,4991
0.0,83,0.8450342465753424,0.26907916347311944,9830,9.471022128556376,9.976446442533229,0.16526583268178263,36532,25623,30696,5073
0.0,84,0.8423801369863013,0.2690928991654125,9834,9.42442177400514,9.923157208088716,0.1623613829093281,36545,25682,30660,4978
0.0,85,0.8426369863013699,0.2689606165787532,9841,9.427008573534547,9.937388599021292,0.1646303918073695,36589,25777,30857,5080
0.0,86,0.8425513698630137,0.2703163686382393,9826,9.419039838157484,9.926795130525356,0.16333572033070765,36350,25704,30722,5018
0.0,87,0.8436643835616439,0.27129172072992297,9827,9.442809442460009,9.950238427352645,0.16449865377753267,36223,25756,30827,5071
0.0,88,0.8439212328767123,0.26747472551364276,9842,9.444474623622536,9.950829767924283,0.16465707247504213,36796,25772,30852,5080
0.0,89,0.8327054794520548,0.26331248300244764,9682,9.440220985877135,9.9454840805718,0.16494476933073424,36770,25703,30780,5077
0.0,90,0.8404109589041096,0.26990125227561096,9785,9.451722787783869,9.943530340924049,0.15953665920758195,36254,25540,30388,4848
0.0,91,0.841181506849315,0.2660630285232618,9785,9.438940047402571,9.937550900739486,0.16157930742417825,36777,25737,30697,4960
0.0,92,0.8426369863013699,0.2690146635603673,9815,9.39255637055148,9.910599138070705,0.16506270049577138,36485,25767,30861,5094
0.0,93,0.84375,0.2699945145364783,9844,9.429843235920263,9.939663827444376,0.1632930660362082,36460,25835,30877,5042
0.0,94,0.8452054794520548,0.2684287891986063,9861,9.437970070559045,9.936279447603575,0.16185215272136474,36736,25794,30775,4981
0.0,95,0.8400684931506849,0.26779910970314336,9806,9.448100473414453,9.959441380885568,0.16601951251345973,36617,25559,30647,5088
0.0,96,0.8384417808219178,0.26866000385451944,9758,9.447881092828315,9.953080415045395,0.16446173800259403,36321,25768,30840,5072
0.0,97,0.8448630136986301,0.27044869336547417,9873,9.430854165856694,9.93065729075105,0.1626460917407299,36506,25721,30717,4996
0.0,98,0.8333904109589041,0.26722171846234166,9725,9.455718909643958,9.96545661728797,0.16513104346410548,36393,25643,30715,5072
0.0,99,0.8379280821917808,0.2675113817124678,9754,9.44993732372297,9.96448543117826,0.16517871742045195,36462,25528,30579,5051
0.0,100,0.8388698630136986,0.2676356483252281,9796,9.423432923257176,9.932904951399308,0.16481831822036663,36602,25605,30658,5053
0.1,1,0.8414383561643836,0.2683266823375062,9817,9.448868316792845,10.084587992753171,0.20369213469107267,36586,25493,32014,6521
0.1,2,0.8436643835616439,0.27002552070470076,9840,9.398011109816261,10.022249115620927,0.20117296592813255,36441,25743,32226,6483
0.1,3,0.8384417808219178,0.2683537340118278,9756,9.43477921672648,10.049388098277955,0.20169401799894124,36355,25636,32113,6477
0.1,4,0.8416095890410958,0.26725596115021555,9796,9.425168487102022,10.037154395775085,0.19794967381174278,36654,25818,32190,6372
0.1,5,0.8420376712328768,0.2686713782847163,9846,9.428787937667586,10.044678996201506,0.19879818170496294,36647,25733,32118,6385
0.1,6,0.8345890410958904,0.26761493383222823,9727,9.40116506372664,10.02285803627267,0.200187617260788,36347,25578,31980,6402
0.1,7,0.8387842465753425,0.26925724986918564,9777,9.472581276929104,10.088258249820486,0.20295963285567106,36311,25530,32031,6501
0.1,8,0.8388698630136986,0.2673726731808505,9796,9.46483542505328,10.0806436376232,0.20212866454639922,36638,25338,31757,6419
0.1,9,0.8351883561643836,0.2667636483407899,9719,9.425464749210803,10.056193728655696,0.20338404222291215,36433,25659,32210,6551
0.1,10,0.8454623287671232,0.27023473664028047,9866,9.424035839501363,10.050778584279422,0.20373472299770456,36509,25670,32238,6568
0.1,11,0.8392123287671233,0.2673091138062255,9764,9.457915634705351,10.092623180727397,0.2072490416679652,36527,25437,32087,6650
0.1,12,0.8403253424657534,0.2659814558011801,9782,9.44307788113494,10.062885479621881,0.20368820703548737,36777,25693,32265,6572
0.1,13,0.8401541095890411,0.2665230668557095,9775,9.428604741546833,10.048581989873576,0.20075792874227316,36676,25730,32193,6463
0.1,14,0.8361301369863013,0.26900181888331587,9761,9.43301016236421,10.043398227879695,0.1987083489329839,36286,25683,32052,6369
