h1,h2,tau1,tau2,balk_high,seed,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
2,2,9,9,0.3,38,2,18259,5724,0,5724,12535,0,0,5724,1.0,1.0,0.3134892381839093,0.49006849315068496,0.0,5724.0,5724.0
2,2,9,9,0.3,39,1,18228,5921,0,5921,12307,0,0,5921,1.0,1.0,0.32482993197278914,0.5069349315068493,0.0,5921.0,5921.0
2,2,9,9,0.3,39,2,18182,5759,0,5759,12423,0,0,5759,1.0,1.0,0.3167418325816742,0.4930650684931507,0.0,5759.0,5759.0
2,2,9,9,0.3,40,1,18316,5916,0,5916,12400,0,0,5916,1.0,1.0,0.32299628739899544,0.5065068493150685,0.0,5916.0,5916.0
2,2,9,9,0.3,40,2,18176,5764,0,5764,12412,0,0,5764,1.0,1.0,0.31712147887323944,0.4934931506849315,0.0,5764.0,5764.0
2,2,9,9,0.3,41,1,18196,5831,0,5831,12365,0,0,5831,1.0,1.0,0.3204550450648494,0.4992294520547945,0.0,5831.0,5831.0
2,2,9,9,0.3,41,2,18185,5849,0,5849,12336,0,0,5849,1.0,1.0,0.3216387132251856,0.5007705479452055,0.0,5849.0,5849.0
2,2,9,9,0.3,42,1,18262,5841,0,5841,12421,0,0,5841,1.0,1.0,0.31984448581754465,0.5000856164383561,0.0,5841.0,5841.0
2,2,9,9,0.3,42,2,18205,5839,0,5839,12366,0,0,5839,1.0,1.0,0.32073606152156003,0.49991438356164386,0.0,5839.0,5839.0
2,2,9,9,0.3,43,1,18557,5834,0,5834,12723,0,0,5834,1.0,1.0,0.3143827127229617,0.499486301369863,0.0,5834.0,5834.0
2,2,9,9,0.3,43,2,18338,5846,0,5846,12492,0,0,5846,1.0,1.0,0.3187915803250082,0.500513698630137,0.0,5846.0,5846.0
2,2,9,9,0.3,44,1,18412,5968,0,5968,12444,0,0,5968,1.0,1.0,0.32413643276124265,0.510958904109589,0.0,5968.0,5968.0
2,2,9,9,0.3,44,2,18126,5712,0,5712,12414,0,0,5712,1.0,1.0,0.315127441244621,0.48904109589041095,0.0,5712.0,5712.0
2,2,9,9,0.3,45,1,18327,5825,0,5825,12502,0,0,5825,1.0,1.0,0.31783707098815955,0.4987157534246575,0.0,5825.0,5825.0
2,2,9,9,0.3,45,2,18345,5855,0,5855,12490,0,0,5855,1.0,1.0,0.3191605342055056,0.5012842465753424,0.0,5855.0,5855.0
2,2,9,9,0.3,46,1,18248,5921,0,5921,12327,0,0,5921,1.0,1.0,0.3244739149495835,0.5069349315068493,0.0,5921.0,5921.0
2,2,9,9,0.3,46,2,18158,5759,0,5759,12399,0,0,5759,1.0,1.0,0.3171604802291001,0.4930650684931507,0.0,5759.0,5759.0
2,2,9,9,0.3,47,1,18387,5817,0,5817,12570,0,0,5817,1.0,1.0,0.3163648229727525,0.49803082191780823,0.0,5817.0,5817.0
2,2,9,9,0.3,47,2,18254,5863,0,5863,12391,0,0,5863,1.0,1.0,0.3211898761915197,0.5019691780821918,0.0,5863.0,5863.0
2,2,9,9,0.3,48,1,18445,5908,0,5908,12537,0,0,5908,1.0,1.0,0.320303605313093,0.5058219178082192,0.0,5908.0,5908.0
2,2,9,9,0.3,48,2,18133,5772,0,5772,12361,0,0,5772,1.0,1.0,0.3183146749021122,0.49417808219178083,0.0,5772.0,5772.0
2,2,9,9,0.3,49,1,18000,5821,0,5821,12179,0,0,5821,1.0,1.0,0.3233888888888889,0.4983732876712329,0.0,5821.0,5821.0
2,2,9,9,0.3,49,2,18268,5859,0,5859,12409,0,0,5859,1.0,1.0,0.32072476461572147,0.5016267123287671,0.0,5859.0,5859.0
2,2,9,9,0.3,50,1,18274,5838,0,5838,12436,0,0,5838,1.0,1.0,0.3194702856517456,0.49982876712328766,0.0,5838.0,5838.0
2,2,9,9,0.3,50,2,18141,5842,0,5842,12299,0,0,5842,1.0,1.0,0.3220329640041894,0.5001712328767123,0.0,5842.0,5842.0
2,2,9,9,0.5,1,1,18214,5813,0,5813,12401,0,0,5813,1.0,1.0,0.3191501043153618,0.49768835616438356,0.0,5813.0,5813.0
2,2,9,9,0.5,1,2,18331,5867,0,5867,12464,0,0,5867,1.0,1.0,0.3200589165893841,0.5023116438356164,0.0,5867.0,5867.0
2,2,9,9,0.5,2,1,18229,5756,0,5756,12473,0,0,5756,1.0,1.0,0.3157606012397828,0.4928082191780822,0.0,5756.0,5756.0
2,2,9,9,0.5,2,2,18359,5924,0,5924,12435,0,0,5924,1.0,1.0,0.3226755269894874,0.5071917808219178,0.0,5924.0,5924.0
2,2,9,9,0.5,3,1,18444,5853,0,5853,12591,0,0,5853,1.0,1.0,0.31733897202342226,0.5011130136986301,0.0,5853.0,5853.0
2,2,9,9,0.5,3,2,18108,5827,0,5827,12281,0,0,5827,1.0,1.0,0.32179147338193065,0.49888698630136985,0.0,5827.0,5827.0
2,2,9,9,0.5,4,1,18132,5733,0,5733,12399,0,0,5733,1.0,1.0,0.31618133686300465,0.49083904109589044,0.0,5733.0,5733.0
2,2,9,9,0.5,4,2,18495,5947,0,5947,12548,0,0,5947,1.0,1.0,0.3215463638821303,0.5091609589041096,0.0,5947.0,5947.0
2,2,9,9,0.5,5,1,18190,5828,0,5828,12362,0,0,5828,1.0,1.0,0.3203958218801539,0.49897260273972605,0.0,5828.0,5828.0
2,2,9,9,0.5,5,2,18098,5852,0,5852,12246,0,0,5852,1.0,1.0,0.32335064648027406,0.501027397260274,0.0,5852.0,5852.0
