background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,lambda_total,lambda_class1,lambda_class2,horizon_class1,horizon_class2,cancel_class1,cancel_class2,balk_threshold_class1,balk_threshold_class2,balk_low_class1,balk_low_class2,balk_high_class1,balk_high_class2,noshow_threshold_class1,noshow_threshold_class2,noshow_low_class1,noshow_low_class2,noshow_high_class1,noshow_high_class2,gap_magnitude_focal,n_paired_seeds,mean_class2_low_regime_offer_share,mean_class2_high_regime_offer_share,exposure_active,pre_minus_post_absolute_served_gap,pre_minus_post_absolute_served_gap_ci_low,pre_minus_post_absolute_served_gap_ci_high,failure_component,classification
H7B0291,X043,asymmetric_stress,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,21,21,0.0,0.0,4,4,0.5,0.5,0.7,0.7,12,12,0.3,0.3,0.3,0.3,0.05,20,1.0,0.0,False,0.02076374077303701,0.012875475353672292,0.028652006192401727,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0291,X043,asymmetric_stress,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,21,21,0.0,0.0,4,4,0.5,0.5,0.7,0.7,12,12,0.3,0.3,0.3,0.3,0.1,20,1.0,0.0,False,0.05707949822128774,0.05059601755111244,0.06356297889146303,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0291,X043,asymmetric_stress,0.8,0.7,32,25.6,17.919999999999998,7.6800000000000015,21,21,0.0,0.0,4,4,0.5,0.5,0.7,0.7,12,12,0.3,0.3,0.3,0.3,0.2,20,1.0,0.0,False,0.13135078717175086,0.12546999054299246,0.13723158380050926,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0293,X046,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,6,9,0.1,0.1,0.5,0.5,9,9,0.0,0.0,0.7,0.7,0.05,20,1.0,0.0,False,-0.04546590121588179,-0.049630822910636335,-0.04130097952112724,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0293,X046,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,6,9,0.1,0.1,0.5,0.5,9,9,0.0,0.0,0.7,0.7,0.1,20,1.0,0.0,False,-0.09719152122036291,-0.10156508254200224,-0.09281795989872359,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0293,X046,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,6,9,0.1,0.1,0.5,0.5,9,9,0.0,0.0,0.7,0.7,0.2,20,1.0,0.0,False,-0.027010643890550367,-0.032567922964047216,-0.021453364817053514,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0293,X046,asymmetric_stress,2.0,0.5,32,64.0,32.0,32.0,28,28,0.1,0.1,6,9,0.1,0.1,0.5,0.5,9,9,0.0,0.0,0.7,0.7,0.3,20,1.0,0.0,False,0.07776753039954866,0.07301389399345445,0.08252116680564286,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0294,X047,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,28,21,0.1,0.1,12,12,0.0,0.0,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.05,20,1.0,0.0,False,0.006728142283501055,0.0010864222705980935,0.012369862296404018,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0294,X047,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,28,21,0.1,0.1,12,12,0.0,0.0,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.1,20,1.0,0.0,False,0.028846536469547202,0.02044790470473875,0.037245168234355655,insufficient_pre_or_post_threshold_offer_exposure,inactive
H7B0294,X047,asymmetric_stress,1.25,0.3,16,20.0,6.0,14.0,28,21,0.1,0.1,12,12,0.0,0.0,0.7,0.7,4,4,0.5,0.5,0.5,0.5,0.2,20,1.0,0.0,False,0.07914766419692867,0.07328209880734718,0.08501322958651017,insufficient_pre_or_post_threshold_offer_exposure,inactive
