background_id,variant,selection_objective,policy,selected_source_stage,selected_horizon_days,selected_Q,selected_window,n_seeds,average_utilization,average_utilization_sd,weighted_utilization,weighted_utilization_sd,class_1_percent_serviced,class_1_percent_serviced_sd,class_2_percent_serviced,class_2_percent_serviced_sd,class_1_slot_utilization,class_1_slot_utilization_sd,class_2_slot_utilization,class_2_slot_utilization_sd,access_advantage_class_1,access_advantage_class_1_sd,class_1_balking_rate,class_1_balking_rate_sd,class_2_balking_rate,class_2_balking_rate_sd,class_1_no_show_rate,class_1_no_show_rate_sd,class_2_no_show_rate,class_2_no_show_rate_sd,class_1_no_offer_rate,class_1_no_offer_rate_sd,class_2_no_offer_rate,class_2_no_offer_rate_sd,class_1_mean_offered_booking_delay,class_1_mean_offered_booking_delay_sd,class_2_mean_offered_booking_delay,class_2_mean_offered_booking_delay_sd,design_note,patient_characteristic,class2_reference,contrast_level,profile_id,clinic_context_id,clinic_block,horizon_days,rho,class1_share,slots_per_day,lambda_1,lambda_2,cancel_1,cancel_2,balk_threshold_1,balk_low_1,balk_high_1,balk_threshold_2,balk_low_2,balk_high_2,noshow_threshold_1,noshow_low_1,noshow_high_1,noshow_threshold_2,noshow_low_2,noshow_high_2,cap_thresholds_to_horizon
PCP_CN_LOW_STRONG_C02,release,weighted_utilization,both_flexible,both_flexible,6,40,2,5,0.8062684931506847,0.004071531543830105,0.8050323257182121,0.004109341440945358,0.8041336437858384,0.005742811373822632,0.8068296895829598,0.0018347334627646073,0.24082191780821915,0.002379622000066693,0.5655671232876712,0.0037010849286513376,-0.0026960457971213995,0.005291401127563635,0.09875150431941253,0.006028187539285541,0.10044826539195521,0.0012155831634953398,0.08807944729195893,0.0023930017252378893,0.08945478552771552,0.0009279505536198167,0.0,0.0,0.0,0.0,0.03188720285057124,0.00624788354836812,0.032345191811992344,0.007429899991697051,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C02,compact_balanced_block_1,14,1.0,0.3,50,15.0,35.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,average_utilization,baseline,baseline,22,0,-1,5,0.808511415525115,0.006466437030136483,0.8009638060048555,0.004291865208663113,0.7980172686343229,0.003957728865577735,0.8068568807459211,0.008418888007511532,0.40264840182648404,0.007393031092748753,0.40628310502283094,0.00854293847049359,-0.00883961211159828,0.008391476919042054,0.1005106070540476,0.005125124285826126,0.09984207846400173,0.004982892157547903,0.08600286308134239,0.002344075580827543,0.0887275802809303,0.005165105491516094,0.0,0.0,0.0,0.0,0.056637385491046924,0.007024598870449562,0.05470089638680966,0.008324682350660141,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,average_utilization,horizon_only,horizon_only,2,0,-1,5,0.808511415525115,0.006466437030136483,0.8009638060048555,0.004291865208663113,0.7980172686343229,0.003957728865577735,0.8068568807459211,0.008418888007511532,0.40264840182648404,0.007393031092748753,0.40628310502283094,0.00854293847049359,-0.00883961211159828,0.008391476919042054,0.1005106070540476,0.005125124285826126,0.09984207846400173,0.004982892157547903,0.08600286308134239,0.002344075580827543,0.0887275802809303,0.005165105491516094,0.0,0.0,0.0,0.0,0.056637385491046924,0.007024598870449562,0.05470089638680966,0.008324682350660141,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,average_utilization,reservation_only,baseline,22,0,-1,5,0.808511415525115,0.006466437030136483,0.8009638060048555,0.004291865208663113,0.7980172686343229,0.003957728865577735,0.8068568807459211,0.008418888007511532,0.40264840182648404,0.007393031092748753,0.40628310502283094,0.00854293847049359,-0.00883961211159828,0.008391476919042054,0.1005106070540476,0.005125124285826126,0.09984207846400173,0.004982892157547903,0.08600286308134239,0.002344075580827543,0.0887275802809303,0.005165105491516094,0.0,0.0,0.0,0.0,0.056637385491046924,0.007024598870449562,0.05470089638680966,0.008324682350660141,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,average_utilization,both_flexible,horizon_only,2,0,-1,5,0.808511415525115,0.006466437030136483,0.8009638060048555,0.004291865208663113,0.7980172686343229,0.003957728865577735,0.8068568807459211,0.008418888007511532,0.40264840182648404,0.007393031092748753,0.40628310502283094,0.00854293847049359,-0.00883961211159828,0.008391476919042054,0.1005106070540476,0.005125124285826126,0.09984207846400173,0.004982892157547903,0.08600286308134239,0.002344075580827543,0.0887275802809303,0.005165105491516094,0.0,0.0,0.0,0.0,0.056637385491046924,0.007024598870449562,0.05470089638680966,0.008324682350660141,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,weighted_utilization,baseline,baseline,22,0,-1,5,0.808511415525115,0.006466437030136483,0.8009638060048555,0.004291865208663113,0.7980172686343229,0.003957728865577735,0.8068568807459211,0.008418888007511532,0.40264840182648404,0.007393031092748753,0.40628310502283094,0.00854293847049359,-0.00883961211159828,0.008391476919042054,0.1005106070540476,0.005125124285826126,0.09984207846400173,0.004982892157547903,0.08600286308134239,0.002344075580827543,0.0887275802809303,0.005165105491516094,0.0,0.0,0.0,0.0,0.056637385491046924,0.007024598870449562,0.05470089638680966,0.008324682350660141,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,weighted_utilization,horizon_only,horizon_only,2,0,-1,5,0.808511415525115,0.006466437030136483,0.8009638060048555,0.004291865208663113,0.7980172686343229,0.003957728865577735,0.8068568807459211,0.008418888007511532,0.40264840182648404,0.007393031092748753,0.40628310502283094,0.00854293847049359,-0.00883961211159828,0.008391476919042054,0.1005106070540476,0.005125124285826126,0.09984207846400173,0.004982892157547903,0.08600286308134239,0.002344075580827543,0.0887275802809303,0.005165105491516094,0.0,0.0,0.0,0.0,0.056637385491046924,0.007024598870449562,0.05470089638680966,0.008324682350660141,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,weighted_utilization,reservation_only,reservation_only,22,25,3,5,0.8008949771689503,0.00522562791341972,0.8016992846030577,0.00448008490145535,0.7980813973675025,0.004872966009459074,0.808935059074168,0.009238893310417022,0.39863013698630134,0.005485917038472919,0.40233789954337895,0.008013822216065601,-0.010853661706665541,0.010438050312717235,0.10164637683849054,0.003645672337945388,0.09970588979648601,0.005472235258815169,0.08704183747991494,0.0015847161664366068,0.08613924505595758,0.004855236692372593,0.0,0.0,0.0,0.0,0.04925967727593907,0.0053745299693615375,0.05192331381763088,0.007289127601746031,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C03,release,weighted_utilization,both_flexible,both_flexible,6,25,3,5,0.8008949771689503,0.00522562791341972,0.8016992846030577,0.00448008490145535,0.7980813973675025,0.004872966009459074,0.808935059074168,0.009238893310417022,0.39863013698630134,0.005485917038472919,0.40233789954337895,0.008013822216065601,-0.010853661706665541,0.010438050312717235,0.10164637683849054,0.003645672337945388,0.09970588979648601,0.005472235258815169,0.08704183747991494,0.0015847161664366068,0.08613924505595758,0.004855236692372593,0.0,0.0,0.0,0.0,0.04925967727593907,0.0053745299693615375,0.05192331381763088,0.007289127601746031,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C03,compact_balanced_block_1,22,1.0,0.5,30,15.0,15.0,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,average_utilization,baseline,baseline,6,0,-1,5,0.8043506849315069,0.005775378856686722,0.8024993311264772,0.00346462133424559,0.8002596242600287,0.006226074654351305,0.8069787448593745,0.0037229943279039053,0.5620712328767123,0.0060179752010734765,0.24221369863013695,0.004103484049846487,-0.006719120599345821,0.009114101299600457,0.10233201097262004,0.0048915891413379535,0.10135395183913878,0.0011425075462938913,0.08881092187723842,0.001883691504409285,0.08884992211898493,0.0028197747187973243,0.0,0.0,0.0,0.0,0.030923665524582124,0.003050560639511388,0.03167842782641666,0.005058407034674394,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,average_utilization,horizon_only,horizon_only,2,0,-1,5,0.8043506849315069,0.005775378856686722,0.8024993311264772,0.00346462133424559,0.8002596242600287,0.006226074654351305,0.8069787448593745,0.0037229943279039053,0.5620712328767123,0.0060179752010734765,0.24221369863013695,0.004103484049846487,-0.006719120599345821,0.009114101299600457,0.10233201097262004,0.0048915891413379535,0.10135395183913878,0.0011425075462938913,0.08881092187723842,0.001883691504409285,0.08884992211898493,0.0028197747187973243,0.0,0.0,0.0,0.0,0.030923665524582124,0.003050560639511388,0.03167842782641666,0.005058407034674394,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,average_utilization,reservation_only,reservation_only,6,48,3,5,0.8062794520547942,0.003286666513144264,0.8024865313769434,0.004015698359389861,0.8019004311072433,0.0042416253258112085,0.8036587319163434,0.004149497840173794,0.5633205479452055,0.0037343983325780128,0.24290410958904105,0.005389536229526191,-0.0017583008091002176,0.0026898707758682113,0.10149308004863808,0.0030592337554291352,0.10239140308462993,0.002869031593544875,0.08852881342611986,0.00048732113420811097,0.0905186606041126,0.002791132520025022,0.0,0.0,0.0,0.0,0.02882649813577696,0.004892729058269872,0.04365031686875202,0.014467844473194567,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,average_utilization,both_flexible,both_flexible,6,48,3,5,0.8062794520547942,0.003286666513144264,0.8024865313769434,0.004015698359389861,0.8019004311072433,0.0042416253258112085,0.8036587319163434,0.004149497840173794,0.5633205479452055,0.0037343983325780128,0.24290410958904105,0.005389536229526191,-0.0017583008091002176,0.0026898707758682113,0.10149308004863808,0.0030592337554291352,0.10239140308462993,0.002869031593544875,0.08852881342611986,0.00048732113420811097,0.0905186606041126,0.002791132520025022,0.0,0.0,0.0,0.0,0.02882649813577696,0.004892729058269872,0.04365031686875202,0.014467844473194567,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,weighted_utilization,baseline,baseline,6,0,-1,5,0.8043506849315069,0.005775378856686722,0.8024993311264772,0.00346462133424559,0.8002596242600287,0.006226074654351305,0.8069787448593745,0.0037229943279039053,0.5620712328767123,0.0060179752010734765,0.24221369863013695,0.004103484049846487,-0.006719120599345821,0.009114101299600457,0.10233201097262004,0.0048915891413379535,0.10135395183913878,0.0011425075462938913,0.08881092187723842,0.001883691504409285,0.08884992211898493,0.0028197747187973243,0.0,0.0,0.0,0.0,0.030923665524582124,0.003050560639511388,0.03167842782641666,0.005058407034674394,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,weighted_utilization,horizon_only,horizon_only,2,0,-1,5,0.8043506849315069,0.005775378856686722,0.8024993311264772,0.00346462133424559,0.8002596242600287,0.006226074654351305,0.8069787448593745,0.0037229943279039053,0.5620712328767123,0.0060179752010734765,0.24221369863013695,0.004103484049846487,-0.006719120599345821,0.009114101299600457,0.10233201097262004,0.0048915891413379535,0.10135395183913878,0.0011425075462938913,0.08881092187723842,0.001883691504409285,0.08884992211898493,0.0028197747187973243,0.0,0.0,0.0,0.0,0.030923665524582124,0.003050560639511388,0.03167842782641666,0.005058407034674394,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,weighted_utilization,reservation_only,reservation_only,6,47,3,5,0.8026191780821919,0.007976358386704775,0.8037165716557659,0.003838835550059704,0.8010255365151456,0.004405296495890048,0.8090986419370069,0.0044023843413907296,0.5598246575342466,0.004994483727574908,0.24271780821917804,0.0037448356883707967,-0.008073105421861178,0.004580003359417795,0.10451746735854488,0.002214209283183146,0.0987327529227872,0.0021642261882930908,0.08790110724740711,0.0028212910887257968,0.08943036531465351,0.004417935811688142,0.0,0.0,0.0,0.0,0.024285127604186357,0.0013483041161859001,0.031096309785213418,0.006758597773313142,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C04,release,weighted_utilization,both_flexible,both_flexible,6,47,3,5,0.8026191780821919,0.007976358386704775,0.8037165716557659,0.003838835550059704,0.8010255365151456,0.004405296495890048,0.8090986419370069,0.0044023843413907296,0.5598246575342466,0.004994483727574908,0.24271780821917804,0.0037448356883707967,-0.008073105421861178,0.004580003359417795,0.10451746735854488,0.002214209283183146,0.0987327529227872,0.0021642261882930908,0.08790110724740711,0.0028212910887257968,0.08943036531465351,0.004417935811688142,0.0,0.0,0.0,0.0,0.024285127604186357,0.0013483041161859001,0.031096309785213418,0.006758597773313142,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C04,compact_balanced_block_1,6,1.0,0.7,50,35.0,15.000000000000002,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C05,release,average_utilization,baseline,baseline,14,0,-1,5,0.7973881278538821,0.009843249265240753,0.802150749120365,0.002856820374286982,0.7974156240058549,0.00444669334296022,0.8116209993493856,0.012968509870607386,0.7155616438356165,0.00990785510983816,0.0816803652968036,0.003713314331086025,-0.014205375343530651,0.01657908970739363,0.10055697530267511,0.003377139589820067,0.10083399018630543,0.005036384635304255,0.08817459774099035,0.002754346163616279,0.08248304972930584,0.011825296266520811,0.0,0.0,0.0,0.0,0.049927385793567335,0.011287221802035279,0.05052569270164474,0.009581371037241198,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C05,compact_balanced_block_1,14,1.0,0.9,30,27.0,2.999999999999999,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
PCP_CN_LOW_STRONG_C05,release,average_utilization,horizon_only,horizon_only,2,0,-1,5,0.7973881278538821,0.009843249265240753,0.802150749120365,0.002856820374286982,0.7974156240058549,0.00444669334296022,0.8116209993493856,0.012968509870607386,0.7155616438356165,0.00990785510983816,0.0816803652968036,0.003713314331086025,-0.014205375343530651,0.01657908970739363,0.10055697530267511,0.003377139589820067,0.10083399018630543,0.005036384635304255,0.08817459774099035,0.002754346163616279,0.08248304972930584,0.011825296266520811,0.0,0.0,0.0,0.0,0.049927385793567335,0.011287221802035279,0.05052569270164474,0.009581371037241198,patient_characteristics_pilot,cancellation_propensity,low,strong,CN_LOW_STRONG,C05,compact_balanced_block_1,14,1.0,0.9,30,27.0,2.999999999999999,0.3,0.1,16,0.1,0.2,16,0.1,0.2,14,0.1,0.2,14,0.1,0.2,False
