background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,target_loss_share,balk_probability,noshow_probability,n_paired_seeds,mean_balk_loss_share,mean_noshow_loss_share,balk_target_error,noshow_target_error,loss_match_gap,loss_match_valid,delta_utilization_balk_minus_noshow,delta_utilization_balk_minus_noshow_ci_low,delta_utilization_balk_minus_noshow_ci_high,utilization_component,delta_class1_served_balk_vs_baseline,delta_class1_served_balk_vs_baseline_ci_low,delta_class1_served_balk_vs_baseline_ci_high,balk_served_component,delta_class1_served_noshow_vs_baseline,delta_class1_served_noshow_vs_baseline_ci_low,delta_class1_served_noshow_vs_baseline_ci_high,noshow_served_component,delta_utilization_balk_vs_baseline,delta_utilization_balk_vs_baseline_ci_low,delta_utilization_balk_vs_baseline_ci_high,delta_utilization_noshow_vs_baseline,delta_utilization_noshow_vs_baseline_ci_low,delta_utilization_noshow_vs_baseline_ci_high,failure_component,classification
H2B0038,S006,sobol_symmetric,1.25,0.9,16,28,28,0.0,0.0,0.05,0.0540155159670366,0.0572511153283808,20,0.04986696475639037,0.0479350987318853,0.00013303524360963603,0.002064901268114705,0.001931866024505069,True,0.05453767123287674,0.051818704496870704,0.05725663796888278,supported,0.003829129157862482,-0.0030815714199872468,0.010739829735712211,inconclusive,-0.04793509873188533,-0.04946051346989349,-0.046409683993877175,supported,0.0009589041095890372,-0.0006235951290367708,0.0025414033482148452,-0.053578767123287706,-0.05533162513500837,-0.051825909111567044,balk_served,inconclusive
H2B0038,S006,sobol_symmetric,1.25,0.9,16,28,28,0.0,0.0,0.1,0.1054729675985855,0.1203396758777772,20,0.10150492017582569,0.10057567325465389,0.0015049201758256803,0.0005756732546538801,0.0009292469211718002,True,0.11516267123287671,0.11293441592146394,0.11739092654428948,supported,0.004690654001516648,-0.0029698445987051967,0.012351152601738493,inconclusive,-0.10057567325465393,-0.1022959805106124,-0.09885536599869546,supported,0.0025256849315068554,0.0014278298419113304,0.0036235400211023804,-0.11263698630136987,-0.11467726882119363,-0.11059670378154611,balk_served,inconclusive
H2B0039,S007;X083,sobol_symmetric,0.8,0.5,32,7,7,0.1,0.1,0.05,0.05,0.05,20,0.05119318252377707,0.050508782409383536,0.0011931825237770644,0.0005087824093835333,0.000684400114393531,True,-7.705479452055353e-05,-0.005051019697515411,0.004896910108474304,inconclusive,-0.051193182523777116,-0.05295735084702411,-0.04942901420053012,supported,-0.05050878240938359,-0.052116425890472926,-0.04890113892829426,supported,-0.02034246575342465,-0.025324553421882237,-0.015360378084967062,-0.020265410958904096,-0.020910350800379892,-0.0196204711174283,utilization,inconclusive
H2B0039,S007;X083,sobol_symmetric,0.8,0.5,32,7,7,0.1,0.1,0.1,0.1,0.1,20,0.09954668499526495,0.10084466386387647,0.00045331500473505537,0.0008446638638764659,0.0012979788686115212,True,0.0001198630136986234,-0.004123196513558858,0.0043629225409561045,inconclusive,-0.099546684995265,-0.10161753666460493,-0.09747583332592508,supported,-0.10084466386387651,-0.10313397317715221,-0.09855535455060081,supported,-0.04034246575342465,-0.0444770140921119,-0.0362079174147374,-0.04046232876712327,-0.041384198348985955,-0.03954045918526059,utilization,inconclusive
H2B0039,S007;X083,sobol_symmetric,0.8,0.5,32,7,7,0.1,0.1,0.2,0.202841745758013,0.2,20,0.20274934285279275,0.20164501316445937,0.002749342852792741,0.0016450131644593635,0.0011043296883333775,True,5.136986301367275e-05,-0.004291119892326945,0.0043938596183542905,inconclusive,-0.20274934285279275,-0.20528061300877556,-0.20021807269680994,supported,-0.20164501316445946,-0.20488065170189232,-0.1984093746270266,supported,-0.08085616438356165,-0.08537232467690536,-0.07634000409021793,-0.08090753424657533,-0.08222031072284802,-0.07959475777030264,utilization,inconclusive
H2B0040,S008,sobol_symmetric,3.1,0.7,32,21,21,0.5,0.5,0.05,0.05,0.1505900973476279,20,0.05012571241642934,0.049749626129210946,0.0001257124164293355,0.0002503738707890571,0.0003760862872183926,True,0.10521404109589046,0.10294814183132697,0.10747994036045394,supported,-0.00391154086525809,-0.0052023084663333115,-0.002620773264182868,inconclusive,-0.04974962612921101,-0.05030229987699663,-0.049196952381425386,supported,-0.0029794520547945123,-0.004757249782458627,-0.0012016543271303971,-0.10819349315068497,-0.10941525501515328,-0.10697173128621665,balk_served,inconclusive
H2B0042,S010,sobol_symmetric,0.8,0.9,32,14,14,0.5,0.5,0.05,0.05,0.05,20,0.049589461746215355,0.050201920904913086,0.00041053825378464803,0.00020192090491308323,0.0006124591586977313,True,0.0004109589041095818,-0.004743155419697006,0.00556507322791617,inconclusive,-0.049589461746215396,-0.050853826146247415,-0.04832509734618338,supported,-0.05020192090491314,-0.05123302029881739,-0.04917082151100889,supported,-0.035817636986301374,-0.041484415813071676,-0.03015085815953107,-0.036228595890410956,-0.03706983667238329,-0.03538735510843862,utilization,inconclusive
H2B0042,S010,sobol_symmetric,0.8,0.9,32,14,14,0.5,0.5,0.1,0.1,0.1,20,0.09936691491551737,0.10096553834223605,0.0006330850844826347,0.000965538342236047,0.0015986234267186816,True,0.0014511986301369794,-0.003978780030278208,0.006881177290552166,inconclusive,-0.09936691491551744,-0.10129935091882936,-0.09743447891220552,supported,-0.1009655383422361,-0.10250455955796284,-0.09942651712650935,supported,-0.0714083904109589,-0.0776274918242827,-0.06518928899763508,-0.07285958904109588,-0.07418606932593538,-0.07153310875625637,utilization,inconclusive
H2B0042,S010,sobol_symmetric,0.8,0.9,32,14,14,0.5,0.5,0.2,0.2,0.2,20,0.19975326912875163,0.20064964488663412,0.00024673087124837956,0.0006496448866341042,0.0008963757578824838,True,0.004071061643835627,-0.0005299825279829846,0.008672105815654238,inconclusive,-0.19975326912875166,-0.20269274983954744,-0.19681378841795588,supported,-0.20064964488663412,-0.202407450892188,-0.19889183888108022,supported,-0.14070205479452053,-0.14597789162698208,-0.13542621796205898,-0.14477311643835616,-0.1463642893196164,-0.14318194355709593,utilization,inconclusive
H2B0043,S011,sobol_symmetric,1.25,0.3,64,21,21,0.3,0.3,0.05,0.05,0.0500097439295846,20,0.05130653945342188,0.04971615882355137,0.0013065394534218788,0.00028384117644863344,0.0015903806298705123,True,-0.001183647260274001,-0.0038665420883916275,0.0014992475678436254,inconclusive,-0.04986827876538152,-0.05105285575672313,-0.048683701774039904,supported,-0.04971615882355142,-0.05047518447969327,-0.048957133167409565,supported,-0.019723886986301405,-0.022336080204378668,-0.01711169376822414,-0.0185402397260274,-0.018796720573468397,-0.018283758878586406,utilization,inconclusive
