background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1,cancel_class2,n_supported_targets,n_reversed_targets,n_inconclusive_targets,n_inactive_targets,n_loss_matched_targets,failure_component,classification
H2B0135,S103,sobol_symmetric,0.8,0.3,64,14,14,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0136,S104,sobol_symmetric,2.0,0.7,16,28,28,0.1,0.1,3,0,0,0,3,,supported
H2B0137,S105,sobol_symmetric,2.0,0.1,64,21,21,0.5,0.5,3,0,0,0,3,,supported
H2B0138,S106,sobol_symmetric,0.8,0.9,16,7,7,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0139,S107,sobol_symmetric,1.25,0.5,32,28,28,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0140,S108,sobol_symmetric,4.0,0.5,16,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0141,S109,sobol_symmetric,4.0,0.3,16,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0142,S110,sobol_symmetric,2.0,0.7,64,28,28,0.0,0.0,2,0,1,0,3,balk_served,supported
H2B0143,S111,sobol_symmetric,0.8,0.3,32,7,7,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0144,S112,sobol_symmetric,3.1,0.9,32,21,21,0.5,0.5,1,0,2,0,3,balk_served,inconclusive
H2B0145,S113,sobol_symmetric,3.1,0.3,16,14,14,0.0,0.0,3,0,0,0,3,,supported
H2B0146,S114,sobol_symmetric,0.8,0.7,64,28,28,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0147,S115,sobol_symmetric,2.0,0.3,16,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0148,S116;X109,sobol_symmetric,4.0,0.7,32,21,21,0.1,0.1,2,0,1,0,3,balk_served,supported
H2B0149,S117,sobol_symmetric,4.0,0.5,64,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0150,S118,sobol_symmetric,1.25,0.5,16,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0151,S119,sobol_symmetric,0.8,0.1,32,28,28,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0152,S120,sobol_symmetric,2.0,0.9,32,14,14,0.0,0.0,1,0,2,0,2,balk_served;loss_matching_failed,inconclusive
H2B0153,S121,sobol_symmetric,3.1,0.3,32,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0154,S122;X043,sobol_symmetric,0.8,0.7,32,21,21,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0155,S123,sobol_symmetric,1.25,0.1,64,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0156,S124,sobol_symmetric,3.1,0.9,16,28,28,0.5,0.5,0,0,3,0,3,balk_served,inconclusive
H2B0157,S125;X059;X072,sobol_symmetric,4.0,0.1,32,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0158,S126,sobol_symmetric,2.0,0.9,64,14,14,0.1,0.1,0,0,3,0,3,balk_served,inconclusive
H2B0159,S127,sobol_symmetric,1.25,0.3,16,21,21,0.0,0.0,3,0,0,0,3,,supported
H2B0160,S128,sobol_symmetric,3.1,0.5,64,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0161,S129,sobol_symmetric,3.1,0.3,32,21,21,0.0,0.0,2,0,1,0,2,loss_matching_failed,supported
H2B0162,S130,sobol_symmetric,1.25,0.7,64,7,7,0.3,0.3,3,0,0,0,3,,supported
H2B0163,S131,sobol_symmetric,2.0,0.3,16,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0164,S132,sobol_symmetric,4.0,0.7,64,14,14,0.1,0.1,2,0,1,0,3,balk_served,supported
H2B0165,S133,sobol_symmetric,3.1,0.5,32,14,14,0.1,0.1,3,0,0,0,3,,supported
H2B0166,S134,sobol_symmetric,1.25,0.5,32,28,28,0.5,0.5,3,0,0,0,3,,supported
H2B0167,S135,sobol_symmetric,0.8,0.1,64,7,7,0.3,0.3,0,0,3,0,3,utilization,inconclusive
H2B0168,S136,sobol_symmetric,3.1,0.9,16,21,21,0.0,0.0,0,0,2,1,2,balk_served;target_unattainable,inconclusive
H2B0169,S137,sobol_symmetric,2.0,0.3,64,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0170,S138,sobol_symmetric,0.8,0.7,16,14,14,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0171,S139,sobol_symmetric,1.25,0.1,32,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0172,S140,sobol_symmetric,4.0,0.9,32,7,7,0.5,0.5,0,0,3,0,3,balk_served,inconclusive
H2B0173,S141,sobol_symmetric,4.0,0.1,16,7,7,0.5,0.5,3,0,0,0,3,,supported
H2B0174,S142,sobol_symmetric,2.0,0.9,64,21,21,0.1,0.1,3,0,0,0,3,,supported
H2B0175,S143,sobol_symmetric,0.8,0.5,16,14,14,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0176,S144,sobol_symmetric,3.1,0.5,32,28,28,0.3,0.3,3,0,0,0,3,,supported
H2B0177,S145,sobol_symmetric,3.1,0.3,16,7,7,0.1,0.1,3,0,0,0,3,,supported
H2B0178,S146,sobol_symmetric,0.8,0.5,64,21,21,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0179,S147,sobol_symmetric,2.0,0.1,32,14,14,0.3,0.3,3,0,0,0,3,,supported
H2B0180,S148,sobol_symmetric,4.0,0.9,32,28,28,0.0,0.0,0,0,2,1,1,balk_served;loss_matching_failed;target_unattainable,inconclusive
H2B0181,S149,sobol_symmetric,4.0,0.1,64,28,28,0.0,0.0,3,0,0,0,3,,supported
H2B0182,S150,sobol_symmetric,1.25,0.9,16,14,14,0.3,0.3,2,0,1,0,3,balk_served,supported
H2B0183,S151,sobol_symmetric,0.8,0.3,64,21,21,0.5,0.5,0,0,3,0,3,utilization,inconclusive
H2B0184,S152,sobol_symmetric,2.0,0.7,16,7,7,0.1,0.1,3,0,0,0,3,,supported
H2B0185,S153,sobol_symmetric,2.0,0.1,64,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0186,S154,sobol_symmetric,0.8,0.9,32,28,28,0.1,0.1,0,0,3,0,3,utilization,inconclusive
H2B0187,S155,sobol_symmetric,1.25,0.5,64,7,7,0.0,0.0,0,0,3,0,3,utilization,inconclusive
H2B0188,S156;X097,sobol_symmetric,3.1,0.5,16,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0189,S157,sobol_symmetric,4.0,0.3,32,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0190,S158,sobol_symmetric,1.25,0.7,32,7,7,0.0,0.0,3,0,0,0,3,,supported
H2B0191,S159,sobol_symmetric,0.8,0.3,16,28,28,0.1,0.1,0,1,2,0,3,utilization,reversed
H2B0192,S160;X117,sobol_symmetric,3.1,0.7,64,14,14,0.5,0.5,2,0,1,0,3,balk_served,supported
H2B0193,S161,sobol_symmetric,3.1,0.3,32,7,7,0.0,0.0,3,0,0,0,3,,supported
H2B0194,S162,sobol_symmetric,1.25,0.7,32,21,21,0.3,0.3,3,0,0,0,3,,supported
H2B0195,S163,sobol_symmetric,2.0,0.3,64,14,14,0.5,0.5,3,0,0,0,3,,supported
H2B0196,S164,sobol_symmetric,4.0,0.7,16,28,28,0.1,0.1,2,0,1,0,3,balk_served,supported
