background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0082,S050,sobol_symmetric,0.8,low,0.5,32,7,7,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0087,S055,sobol_symmetric,0.8,low,0.3,16,7,7,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0090,S058,sobol_symmetric,0.8,low,0.9,64,14,14,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0091,S059,sobol_symmetric,1.25,low,0.3,32,21,21,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0094,S062,sobol_symmetric,2.0,boundary,0.7,16,21,21,0.5,20,0.008259423345950256,0.0054572649490985175,0.011061581742801994,reversed,0.501540727389959,0.49833811342522766,0.5047433413546905,-16.72655124828102,-16.76684482280735,-16.68625767375469,supported,0.2996575342465754,0.2965838413018224,0.30273122719132833,0.0,1.0,reversed
H1B0095,S063,sobol_symmetric,1.25,low,0.1,32,14,14,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0098,S066,sobol_symmetric,1.25,low,0.9,16,28,28,0.5,20,-0.0002473482997773224,-0.00100461537145267,0.0005099187718980251,inconclusive,-0.0017114787392609298,-0.006372894721545638,0.002949937243023778,-0.008269583711120165,-0.016448826109410883,-9.03413128294471e-05,inconclusive,-0.001849315068493157,-0.0042411790493032875,0.0005425489123169734,0.55,0.75,inconclusive
H1B0102,S070,sobol_symmetric,1.25,low,0.7,32,7,7,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0103,S071;X009,sobol_symmetric,0.8,low,0.1,16,28,28,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0104,S072,sobol_symmetric,3.1,high,0.9,64,14,14,0.1,20,0.03772841303776777,0.036618379220668726,0.038838446854866815,reversed,0.6278785387443829,0.6251759288865412,0.6305811486022247,-9.308253817711742,-9.317221803574196,-9.29928583184929,supported,0.29241652397260276,0.2913145341193652,0.2935185138258403,0.0,1.0,reversed
H1B0106,S074,sobol_symmetric,0.8,low,0.5,64,21,21,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0111,S079,sobol_symmetric,0.8,low,0.3,64,21,21,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0112,S080,sobol_symmetric,3.1,high,0.7,32,7,7,0.5,20,0.0002824758668790547,-0.00023560323202156957,0.0008005549657796791,inconclusive,-0.0006060848772679497,-0.0016373333049417083,0.0004251635504058089,-0.00293770220964754,-0.0094115848197047,0.003536180400409621,inconclusive,3.4246575342458677e-05,-0.0017078178492621649,0.0017763109999470823,0.6,0.75,inconclusive
H1B0114,S082,sobol_symmetric,0.8,low,0.7,16,14,14,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0115,S083,sobol_symmetric,2.0,boundary,0.1,32,21,21,0.5,20,-0.008449855483269153,-0.014657130831512755,-0.0022425801350255507,supported,-0.0003322038711487396,-0.0014469356004262338,0.0007825278581287546,-0.005128110161151211,-0.05102420835555585,0.04076798803325343,inconclusive,-0.00039811643835617195,-0.0028415666773242646,0.0020453338006119204,0.15,0.05,inconclusive
H1B0116,S084,sobol_symmetric,4.0,high,0.7,32,7,7,0.1,20,0.006768435099506312,0.006013152151332639,0.0075237180476799845,reversed,0.18885267990733218,0.18724732477172973,0.19045803504293463,-1.250170936339948,-1.254949332646438,-1.245392540033458,supported,0.24453339041095895,0.24217978109873278,0.24688699972318512,0.0,1.0,reversed
H1B0119,S087,sobol_symmetric,0.8,low,0.5,32,14,14,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0121,S089,sobol_symmetric,2.0,boundary,0.1,16,21,21,0.3,20,-0.02116497088568109,-0.028711044317024752,-0.013618897454337425,supported,0.0019524697058630857,0.0002552008327706499,0.0036497385789555216,-0.027253459247876623,-0.06821352308707816,0.013706604591324917,inconclusive,-0.000522260273972619,-0.00393592918249318,0.0028914086345479414,0.15,0.0,inconclusive
H1B0122,S090,sobol_symmetric,0.8,low,0.9,32,7,7,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0124,S092,sobol_symmetric,3.1,high,0.7,64,14,14,0.5,20,0.07526759281735287,0.0740191730120948,0.07651601262261094,reversed,0.3214454684923717,0.3199526992621787,0.32293823772256475,-9.03016055415909,-9.038569540429345,-9.021751567888836,supported,0.4594306506849315,0.45789410528800084,0.46096719608186215,0.0,1.0,reversed
H1B0127,S095,sobol_symmetric,1.25,low,0.1,64,7,7,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0128,S096,sobol_symmetric,3.1,high,0.9,16,21,21,0.3,20,0.11009881415476383,0.10835642346515148,0.11184120484437618,reversed,0.32412808823833245,0.3197659259429534,0.3284902505337115,-16.18327642335779,-16.195639278072434,-16.170913568643144,supported,0.40105308219178093,0.3976136861212547,0.40449247826230716,0.0,1.0,reversed
H1B0130,S098,sobol_symmetric,0.8,low,0.7,32,14,14,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0131,S099,sobol_symmetric,1.25,low,0.1,16,21,21,0.3,20,-0.001696764824205274,-0.00477363049613048,0.0013801008477199314,inconclusive,4.4020634785799095e-05,-0.00048379399686118187,0.0005718352664327801,-0.0015286141437559485,-0.004688171511801596,0.0016309432242896992,inconclusive,-0.0006763698630136928,-0.0019994630502869343,0.0006467233242595489,0.85,0.85,inconclusive
H1B0133,S101,sobol_symmetric,3.1,high,0.1,64,7,7,0.0,20,-0.14678112706281768,-0.14896373589333242,-0.14459851823230294,supported,0.026462725040090083,0.025920701430335126,0.02700474864984504,-0.11527209119330392,-0.12326112944873335,-0.10728305293787449,inconclusive,0.028208476027397254,0.026728499328036354,0.029688452726758154,1.0,0.85,inconclusive
