background_id,source_scenario_ids,scenario_type,rho,demand_regime,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class2_background,n_paired_seeds,delta_class1_served_rate,delta_class1_served_rate_ci_low,delta_class1_served_rate_ci_high,class1_served_component,delta_class2_served_rate,delta_class2_served_rate_ci_low,delta_class2_served_rate_ci_high,delta_mean_offered_delay,delta_mean_offered_delay_ci_low,delta_mean_offered_delay_ci_high,offered_delay_component,delta_average_utilization,delta_average_utilization_ci_low,delta_average_utilization_ci_high,class1_served_monotonic_fraction,offered_delay_monotonic_fraction,classification
H1B0028,A028,anchor,1.25,low,0.5,64,21,21,0.0,20,-0.19773493705714804,-0.20292041327517965,-0.19254946083911642,supported,0.19910353554044774,0.19572589776898944,0.20248117331190604,-4.827221835927289,-4.843626985904914,-4.810816685949664,supported,0.0,0.0,0.0,0.35,1.0,inactive
H1B0029,A029,anchor,3.1,high,0.3,32,14,14,0.5,20,-0.5573643135328789,-0.5614534382725894,-0.5532751887931683,supported,0.23783867177530923,0.23683031443930008,0.2388470291113184,-3.866848002898893,-3.88779331695754,-3.8459026888402463,supported,0.0,0.0,0.0,1.0,1.0,supported
H1B0030,A030,anchor,3.1,high,0.7,32,14,14,0.0,20,-0.055076056927981454,-0.056066314038432236,-0.05408579981753067,supported,0.23260176390579185,0.23024147385068286,0.23496205396090084,-5.670150345586739,-5.692795840874094,-5.647504850299384,supported,0.09342465753424659,0.0908470938006637,0.09600222126782947,1.0,1.0,supported
H1B0031,A031,anchor,3.1,high,0.5,32,14,14,0.1,20,-0.25349305062470734,-0.25558827361766434,-0.25139782763175034,supported,0.2541752255971609,0.25200987862109836,0.2563405725732234,-2.148645737956879,-2.160363739502542,-2.1369277364112156,supported,0.0,0.0,0.0,1.0,1.0,supported
H1B0032,A032,anchor,3.1,high,0.5,32,14,14,0.1,20,-0.09994339367476783,-0.10151851987579452,-0.09836826747374114,supported,0.25456828083728017,0.2515332157649142,0.2576033459096461,-4.1623047861768665,-4.1918230463838535,-4.1327865259698795,supported,0.23779109589041098,0.23347914881132947,0.24210304296949248,0.95,1.0,supported
H1B0033,S001,sobol_symmetric,3.1,high,0.3,16,21,21,0.5,20,-0.5737640065979348,-0.5763270005170492,-0.5712010126788204,supported,0.2439622462660263,0.24122351454935895,0.24670097798269366,-4.250155938078119,-4.352890170078627,-4.14742170607761,supported,0.00019691780821919357,6.112806983224253e-05,0.0003327075466061446,1.0,1.0,supported
H1B0034,S002,sobol_symmetric,1.25,low,0.7,64,7,7,0.1,20,-0.07055234296578854,-0.07479536111967738,-0.06630932481189969,supported,0.2297303852387002,0.22639773877016633,0.23306303170723408,-2.5242535411326807,-2.533437180248388,-2.5150699020169736,supported,0.023944777397260274,0.02160448874913003,0.026285066045390517,0.85,1.0,inactive
H1B0035,S003,sobol_symmetric,2.0,boundary,0.1,16,28,28,0.0,20,-0.14243681857323245,-0.1471973503539875,-0.1376762867924774,supported,0.01702170230766356,0.014595016095756327,0.019448388519570793,-0.27170556760656905,-0.2830597066347761,-0.260351428578362,supported,0.0016780821917808304,-0.002021110813191073,0.005377275196752734,1.0,0.7,supported
H1B0036,S004,sobol_symmetric,4.0,high,0.9,64,14,14,0.3,20,-0.0279246350116689,-0.02864688340758855,-0.027202386615749252,supported,0.25907256171113824,0.2570135047826451,0.26113161863963136,-8.05252438116671,-8.060078810704224,-8.044969951629197,supported,-0.0010423801369862928,-0.0028185476205787943,0.0007337873466062089,1.0,1.0,supported
H1B0037,S005,sobol_symmetric,3.1,high,0.1,64,14,14,0.3,20,-0.12827940094635343,-0.13069543957432417,-0.1258633623183827,supported,0.014179565302683717,0.013378933772038158,0.014980196833329275,-0.27599499722160187,-0.2871862766764169,-0.26480371776678685,supported,0.00024186643835614753,-0.00182291962285928,0.0023066524995715753,1.0,1.0,supported
H1B0038,S006,sobol_symmetric,1.25,low,0.9,16,28,28,0.0,20,-0.022328094169609746,-0.029046034417308512,-0.015610153921910981,supported,0.20794730787333654,0.20205949293593292,0.21383512281074016,-3.2698288088269143,-3.2992286622571907,-3.240428955396638,supported,0.0,0.0,0.0,0.25,1.0,inactive
H1B0039,S007,sobol_symmetric,0.8,low,0.5,32,7,7,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0040,S008,sobol_symmetric,3.1,high,0.7,32,21,21,0.5,20,-0.00021635885627137725,-0.00194945415317521,0.0015167364406324555,inconclusive,0.2252303500475557,0.2234046391325378,0.2270560609625736,-16.008035290659276,-16.020402581689734,-15.99566799962882,supported,0.19638698630136986,0.19370539795157848,0.19906857465116123,0.0,1.0,inconclusive
H1B0041,S009,sobol_symmetric,2.0,boundary,0.3,32,28,28,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0042,S010,sobol_symmetric,0.8,low,0.9,32,14,14,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0043,S011,sobol_symmetric,1.25,low,0.3,64,21,21,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0044,S012,sobol_symmetric,4.0,high,0.7,16,7,7,0.0,20,-0.047737888261503644,-0.04908369702729541,-0.04639207949571188,supported,0.20795630430813103,0.20607772814452255,0.2098348804717395,-1.2218611583850334,-1.2306872783281408,-1.213035038441926,supported,0.11575342465753427,0.11115277491989616,0.12035407439517239,1.0,1.0,supported
H1B0045,S013,sobol_symmetric,4.0,high,0.5,16,7,7,0.0,20,-0.1189238414478049,-0.12010031372947352,-0.11774736916613629,supported,0.1729180511515978,0.17082567913811417,0.17501042316508145,-1.0605331700052065,-1.068861307358844,-1.052205032651569,supported,0.10670376712328764,0.10357792020914548,0.10982961403742979,1.0,1.0,supported
H1B0046,S014,sobol_symmetric,2.0,boundary,0.5,64,21,21,0.3,20,-0.04509625413309725,-0.04773338560643182,-0.042459122659762684,supported,0.3447600426939409,0.3417734989852306,0.3477465864026512,-6.490182379275481,-6.652027609924925,-6.328337148626037,supported,0.30062500000000003,0.2977275257840993,0.3035224742159008,0.0,1.0,supported
H1B0047,S015,sobol_symmetric,0.8,low,0.1,16,14,14,0.5,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0048,S016,sobol_symmetric,3.1,high,0.9,64,28,28,0.1,20,0.17036952800286098,0.1698528877097342,0.17088616829598777,reversed,0.7402630560658677,0.738428903860769,0.7420972082709665,-22.33124593367247,-22.345432419563846,-22.317059447781094,supported,0.6915303938356165,0.6899382735864885,0.6931225140847446,0.0,1.0,reversed
H1B0049,S017,sobol_symmetric,3.1,high,0.1,32,7,7,0.3,20,-0.325777944756524,-0.33024409818266476,-0.32131179133038323,supported,0.04679595251006837,0.04549223324358915,0.048099671776547594,-0.19216870260866398,-0.1983074626076016,-0.18602994260972636,inconclusive,0.03205051369863015,0.030206010425518286,0.03389501697174201,1.0,1.0,inconclusive
H1B0050,S018,sobol_symmetric,0.8,low,0.9,32,21,21,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0051,S019,sobol_symmetric,2.0,boundary,0.5,16,14,14,0.1,20,-0.23728802201514182,-0.2409558399980344,-0.23362020403224923,supported,0.36125577862216324,0.3574498237857356,0.3650617334585909,-7.28531968961092,-7.326358931468794,-7.244280447753046,supported,0.1222945205479452,0.11946479203136433,0.1251242490645261,1.0,1.0,supported
H1B0052,S020,sobol_symmetric,4.0,high,0.5,64,28,28,0.5,20,-0.16746859778178297,-0.1684403606174681,-0.16649683494609785,supported,0.16717434294936845,0.16641823274699147,0.16793045315174543,-1.359638943575558,-1.3661928218976402,-1.3530850652534758,supported,0.0,0.0,0.0,1.0,1.0,supported
H1B0053,S021,sobol_symmetric,4.0,high,0.3,32,28,28,0.5,20,-0.2926602915166322,-0.29946693586219636,-0.28585364717106804,supported,0.14803847987462854,0.1471359352994073,0.14894102444984977,-5.541199736217646,-5.630978062577914,-5.451421409857377,supported,0.061596746575342476,0.05363864556497816,0.06955484758570679,1.0,1.0,supported
H1B0054,S022,sobol_symmetric,1.25,low,0.7,16,14,14,0.1,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0055,S023,sobol_symmetric,0.8,low,0.3,64,21,21,0.0,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
H1B0056,S024,sobol_symmetric,2.0,boundary,0.7,16,7,7,0.3,20,-0.05164420219809207,-0.05524090432741877,-0.04804750006876537,supported,0.11601114694656378,0.11197541672922792,0.12004687716389964,-3.5148007042198217,-3.5492660129156857,-3.4803353955239578,supported,-0.002688356164383554,-0.007331795197381461,0.0019550828686143535,0.95,1.0,supported
H1B0057,S025,sobol_symmetric,2.0,boundary,0.3,64,14,14,0.0,20,-0.27704338302050785,-0.2787848042064531,-0.2753019618345626,supported,0.1160934184434537,0.11425306055971776,0.11793377632718963,-1.8998228676516244,-2.1589852814715043,-1.6406604538317449,supported,-0.0007748287671232812,-0.002208596976339904,0.0006589394420933417,1.0,1.0,supported
H1B0058,S026,sobol_symmetric,0.8,low,0.5,16,28,28,0.3,20,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,0.0,0.0,0.0,1.0,1.0,inconclusive
