class1_high_balk,mean,std,n,se,ci95,metric
0.0,36491.68,175.05836717846944,100,17.505836717846943,34.31143996698001,total_arrivals
0.1,36578.34,191.57181948345647,100,19.157181948345645,37.54807661875746,total_arrivals
0.2,36494.2,202.16020249976953,100,20.216020249976953,39.62339968995483,total_arrivals
0.3,36510.24,195.01738435847236,100,19.501738435847237,38.223407334260585,total_arrivals
0.4,36510.19,182.13734938338172,100,18.21373493833817,35.698920479142814,total_arrivals
0.5,36521.64,200.34165363652625,100,20.034165363652626,39.26696411275915,total_arrivals
0.6,36492.46,205.55671733223332,100,20.55567173322333,40.289116597117726,total_arrivals
0.7,36477.21,190.03828933702246,100,19.003828933702245,37.2475047100564,total_arrivals
0.8,36513.68,205.9454610553305,100,20.59454610553305,40.365310366844774,total_arrivals
0.9,36479.78,188.8223246944866,100,18.88223246944866,37.00917564011937,total_arrivals
0.0,25675.93,116.16691709029143,100,11.616691709029144,22.768715749697122,total_booked
0.1,25658.95,102.7272917225339,100,10.27272917225339,20.134549177616645,total_booked
0.2,25570.4,117.44829079259057,100,11.744829079259057,23.019864995347753,total_booked
0.3,25372.3,100.28318489017556,100,10.028318489017556,19.65550423847441,total_booked
0.4,24724.28,123.10397018271776,100,12.310397018271775,24.12837815581268,total_booked
0.5,23529.24,132.4694834307292,100,13.246948343072921,25.964018752422923,total_booked
0.6,22461.77,104.04397428904143,100,10.404397428904144,20.392618960652122,total_booked
0.7,22022.66,97.43199856019721,100,9.743199856019721,19.096671717798653,total_booked
0.8,21826.95,94.37656948992601,100,9.4376569489926,18.497807620025497,total_booked
0.9,21653.7,92.60282300385244,100,9.260282300385244,18.150153308755076,total_booked
0.0,30715.74,145.4008475375799,100,14.54008475375799,28.49856611736566,total_offered
0.1,32137.57,146.5431473676064,100,14.65431473676064,28.722456884050853,total_offered
0.2,33697.58,136.4468431664915,100,13.644684316649151,26.743581260632336,total_offered
0.3,35285.61,137.96397531547336,100,13.796397531547337,27.040939161832778,total_offered
0.4,36360.43,168.92944286496248,100,16.89294428649625,33.11017080153265,total_offered
0.5,36521.56,200.39402196773187,100,20.03940219677319,39.27722830567545,total_offered
0.6,36492.46,205.55671733223332,100,20.55567173322333,40.289116597117726,total_offered
0.7,36477.21,190.03828933702246,100,19.003828933702245,37.2475047100564,total_offered
0.8,36513.68,205.9454610553305,100,20.59454610553305,40.365310366844774,total_offered
0.9,36479.78,188.8223246944866,100,18.88223246944866,37.00917564011937,total_offered
0.0,5039.81,79.68469366221102,100,7.968469366221102,15.61819995779336,total_balked
0.1,6478.62,93.76661118829767,100,9.376661118829768,18.378255792906344,total_balked
0.2,8127.18,101.03388570477776,100,10.103388570477776,19.80264159813644,total_balked
0.3,9913.31,112.30637164075372,100,11.230637164075372,22.012048841587728,total_balked
0.4,11636.15,126.45958950501853,100,12.645958950501853,24.786079542983632,total_balked
0.5,12992.32,137.39009418367155,100,13.739009418367155,26.928458459999625,total_balked
0.6,14030.69,173.77726920667513,100,17.377726920667513,34.06034476450832,total_balked
0.7,14454.55,200.3492090215374,100,20.03492090215374,39.26844496822133,total_balked
0.8,14686.73,210.2106137216008,100,21.02106137216008,41.201280289433754,total_balked
0.9,14826.08,205.93279672669135,100,20.593279672669134,40.3628281584315,total_balked
