class1_high_balk,class_id,mean,std,n,se,ci95,metric
0.8,2,18265.25,134.40165756252983,100,13.440165756252984,26.342724882255848,arrivals
0.9,1,18232.67,129.4711117889962,100,12.947111178899622,25.376337910643258,arrivals
0.9,2,18247.11,137.89469668459853,100,13.789469668459853,27.02736055018131,arrivals
0.0,1,15367.88,94.63574825870408,100,9.463574825870408,18.548606658706,booked
0.0,2,10308.05,90.39681041570734,100,9.039681041570734,17.71777484147864,booked
0.1,1,14996.23,106.44188958575383,100,10.644188958575382,20.86261035880775,booked
0.1,2,10662.72,89.74724103128337,100,8.974724103128336,17.590459242131537,booked
0.2,1,14529.55,110.29971794060877,100,11.029971794060877,21.61874471635932,booked
0.2,2,11040.85,89.39723799769311,100,8.939723799769311,17.521858647547848,booked
0.3,1,13907.93,96.0321132105124,100,9.60321132105124,18.822294189260433,booked
0.3,2,11464.37,86.3211826011237,100,8.63211826011237,16.918951789820245,booked
0.4,1,13008.86,104.98927506554115,100,10.498927506554114,20.577897912846062,booked
0.4,2,11715.42,98.1736433184804,100,9.81736433184804,19.24203409042216,booked
0.5,1,11772.05,97.7623768288819,100,9.77623768288819,19.161425858460852,booked
0.5,2,11757.19,103.22542704139681,100,10.322542704139682,20.232183700113776,booked
0.6,1,10590.24,82.80854394019362,100,8.28085439401936,16.23047461227795,booked
0.6,2,11871.53,97.33441832105918,100,9.733441832105918,19.077545990927597,booked
0.7,1,9808.69,89.0925854820636,100,8.90925854820636,17.462146754484465,booked
0.7,2,12213.97,96.60044283312345,100,9.660044283312345,18.933686795292196,booked
0.8,1,9203.29,93.11221588746972,100,9.311221588746971,18.24999431394406,booked
0.8,2,12623.66,89.51781268484417,100,8.951781268484417,17.545491286229456,booked
0.9,1,8700.76,90.31260189257124,100,9.031260189257123,17.70126997094396,booked
0.9,2,12952.94,92.36618166380757,100,9.236618166380756,18.10377160610628,booked
0.0,1,0.0,0.0,100,0.0,0.0,balked
0.0,2,5039.81,79.68469366221102,100,7.968469366221102,15.61819995779336,balked
0.1,1,1083.82,29.089683686312164,100,2.9089683686312164,5.701578002517184,balked
0.1,2,5394.8,85.37629127053414,100,8.537629127053414,16.73375308902469,balked
0.2,1,2326.99,45.935065059496765,100,4.5935065059496765,9.003272751661365,balked
0.2,2,5800.19,82.16682893831177,100,8.216682893831177,16.104698471909106,balked
0.3,1,3712.65,61.80441208793552,100,6.180441208793551,12.11366476923536,balked
0.3,2,6200.66,91.46928832712496,100,9.146928832712495,17.92798051211649,balked
0.4,1,5170.86,68.56494672346737,100,6.856494672346737,13.438729557799604,balked
0.4,2,6465.29,89.3218327061183,100,8.93218327061183,17.507079210399187,balked
0.5,1,6503.14,91.14856559541137,100,9.114856559541137,17.865118856700626,balked
0.5,2,6489.18,87.50265565955546,100,8.750265565955546,17.15052050927287,balked
0.6,1,7649.17,100.87867049885304,100,10.087867049885304,19.772219417775194,balked
0.6,2,6381.52,108.27289502908738,100,10.827289502908737,21.221487425701124,balked
0.7,1,8432.17,127.11984761069233,100,12.711984761069234,24.915490131695698,balked
0.7,2,6022.38,111.58325966910913,100,11.158325966910912,21.870318895145388,balked
0.8,1,9045.14,153.62048343008476,100,15.362048343008476,30.109614752296615,balked
0.8,2,5641.59,94.27802158263269,100,9.427802158263269,18.478492230196007,balked
0.9,1,9531.91,148.89316181867986,100,14.889316181867986,29.18305971646125,balked
0.9,2,5294.17,95.49626413973728,100,9.549626413973728,18.717267771388507,balked
0.0,1,15367.88,94.63574825870408,100,9.463574825870408,18.548606658706,offered
0.0,2,15347.86,133.75411029273846,100,13.375411029273845,26.215805617376738,offered
0.1,1,16080.05,112.0359227203402,100,11.203592272034019,21.959040853186675,offered
0.1,2,16057.52,125.20072610884417,100,12.520072610884416,24.539342317333453,offered
0.2,1,16856.54,109.60437763136851,100,10.96043776313685,21.482458015748225,offered
0.2,2,16841.04,120.06293972308687,100,12.006293972308686,23.532336185725026,offered
0.3,1,17620.58,112.83349491953872,100,11.283349491953873,22.11536500422959,offered
0.3,2,17665.03,114.44909370766128,100,11.444909370766128,22.43202236670161,offered
0.4,1,18179.72,127.73212816537792,100,12.773212816537791,25.03549712041407,offered
0.4,2,18180.71,129.37216653804396,100,12.937216653804395,25.356944641456614,offered
