background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,balk_low_class1_background,balk_step_class1_focal,balk_high_class1_focal,is_primary_step,seed,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2004,0.42662671232876714,1.0,0.1378476084538376,9.013265513733469,9.059149054505006,0.14013369645951967,0.11759868421052631,0.31660177975528364,0.30177642980935876,0.4479166666666667,0.38767123287671235,0.03672945205479452,0.9149828767123288,0.08381849315068493,9.059265907402823,9.05811403508772,0.02253501224899336,-0.14614023685730793,-0.0011518723151038301,32312,3648,32312,3648,22561,2014,9751,1634,11853,1032,6159,550,4528,429,0.0,0.0,0.0,9.051682106289615,8.58291956305859,0.30177642980935876,0.4479166666666667,0.19061029957910375,0.15076754385964913,0.3668296608071305,0.28289473684210525,35960,35960
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2005,0.4309931506849315,1.0,0.13889808074123097,9.003271934076588,9.034110964041474,0.14074323703317912,0.12227435826662987,0.3173395102581072,0.3018596243987623,0.45680375379519733,0.3933219178082192,0.03792808219178082,0.9118150684931506,0.08638698630136986,9.036610397965749,9.011592602815346,0.01846887876654925,-0.15494412939643504,-0.025017795150402478,32641,3623,32641,3623,22788,1968,9853,1655,12129,958,6056,566,4594,443,0.0,0.0,0.0,9.054897314375987,8.40548780487805,0.3018596243987623,0.45680375379519733,0.18553353144817866,0.15622412365443003,0.37158788027327594,0.26442174993099643,36264,36264
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2006,0.4293664383561644,1.0,0.14008031680517596,8.8100415343269,8.824000223102237,0.14208699962820673,0.12199888330541597,0.3151319091973897,0.3000371793282935,0.45114461194863203,0.39263698630136984,0.03741438356164384,0.9170376712328767,0.08279109589041096,8.816365101003841,8.892797319932999,0.020088116322790756,-0.15110743262033854,0.07643221892915797,32276,3582,32276,3582,22592,1966,9684,1616,11872,999,6125,530,4586,437,0.0,0.0,0.0,8.849592776203966,8.355544252288912,0.3000371793282935,0.45114461194863203,0.1897694881645805,0.14796203238414293,0.3678274879167183,0.27889447236180903,35858,35858
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2007,0.42183219178082193,1.0,0.13499092359315695,9.041275571600481,9.081715165850706,0.13734285365555962,0.11349693251533742,0.31431871940150724,0.29863908214329304,0.45761293920803126,0.3853595890410959,0.0348458904109589,0.9160102739726027,0.08184931506849315,9.07588795313072,9.134969325153374,0.0238459211402222,-0.1589738570647382,0.05908137202265351,32772,3586,32772,3586,22985,1945,9787,1641,12258,987,6198,549,4501,407,0.0,0.0,0.0,9.08453339134218,8.530077120822622,0.29863908214329304,0.45761293920803126,0.1891248626876602,0.15309537088678193,0.3740388136213841,0.2752370329057446,36358,36358
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2008,0.4261986301369863,1.0,0.136443661971831,9.040656919687562,9.09793133802817,0.13720510388299012,0.1296649414328521,0.3132427376760563,0.29885866405556744,0.4412966494143285,0.3839041095890411,0.040753424657534246,0.9074486301369863,0.0913527397260274,9.107279459012883,9.014709888313812,0.007540162450138027,-0.14243798535876107,-0.09256957069907124,32681,3671,32681,3671,22914,2051,9767,1620,12290,984,6115,591,4484,476,0.0,0.0,0.0,9.098891507375404,8.390053632374451,0.29885866405556744,0.4412966494143285,0.18711177748538907,0.1609915554344865,0.3760594841039136,0.26804685371833287,36352,36352
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2009,0.42148972602739726,1.0,0.13567603378788715,8.945992890612377,8.991387401313974,0.13683241252302025,0.12534284147010422,0.31662341964335006,0.30306936771025167,0.43773998902907296,0.38167808219178084,0.039126712328767126,0.9121575342465753,0.08707191780821918,8.974647022713322,9.140976412506857,0.011489571052916037,-0.1346706213188213,0.1663293897935354,32580,3646,32580,3646,22706,2050,9874,1596,12029,1031,6196,560,4458,457,0.0,0.0,0.0,8.98630317977627,8.499512195121952,0.30306936771025167,0.43773998902907296,0.1901780233271946,0.15359297860669227,0.3692142418661756,0.2827756445419638,36226,36226
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2010,0.43176369863013697,1.0,0.13940556621347347,8.913140221700784,8.95846192342981,0.1423535959433554,0.11310344827586206,0.3127589178969611,0.2993939768721786,0.432,0.3941780821917808,0.0351027397260274,0.910958904109589,0.08784246575342466,8.955197575907489,8.987586206896552,0.02925014766749333,-0.13260602312782138,0.03238863098906286,32342,3625,32342,3625,22659,2059,9683,1566,12006,1031,6036,616,4604,410,0.0,0.0,0.0,8.956352884063728,8.437591063623119,0.2993939768721786,0.432,0.18663038773112361,0.16993103448275862,0.37122008533795064,0.2844137931034483,35967,35967
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2011,0.4261986301369863,1.0,0.13791285040244242,8.876606474703108,8.92014987510408,0.13960377707831884,0.1227924944812362,0.31756869275603666,0.30324631241128186,0.44564017660044153,0.3873287671232877,0.03809931506849315,0.9119006849315069,0.08647260273972603,8.917978152194038,8.939569536423841,0.01681128259708263,-0.14239386418915967,0.021591384229802557,32406,3624,32406,3624,22579,2009,9827,1615,11914,999,6127,565,4524,445,0.0,0.0,0.0,8.91638247929492,8.429566948730711,0.30324631241128186,0.44564017660044153,0.18906992532247116,0.15590507726269315,0.3676479664259705,0.27566225165562913,36030,36030
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2012,0.4211472602739726,1.0,0.1361406037756771,9.1576694795494,9.20211792753583,0.1372229064039409,0.12635680489841358,0.313420009425332,0.2983066502463054,0.4500417478430281,0.38159246575342465,0.03886986301369863,0.9132705479452055,0.08527397260273972,9.194950738916257,9.266907876426385,0.010866101505527304,-0.15173509759672266,0.07195713751012889,32480,3593,32480,3593,22791,1976,9689,1617,12099,978,6210,542,4457,454,0.0,0.0,0.0,9.19762186828134,8.696862348178138,0.2983066502463054,0.4500417478430281,0.19119458128078817,0.15084887280823825,0.37250615763546796,0.2721959365432786,36073,36073
H5B0279,X023,asymmetric_stress,3.1,0.9,32,21,21,0.3,0.0,0.3,False,2013,0.42773972602739724,1.0,0.1377563661390227,8.910139818116262,8.972553337921541,0.13987295382360126,0.11840268081541469,0.31284239504473504,0.2987417542145126,0.4417760402122312,0.3921232876712329,0.036301369863013695,0.9130993150684932,0.08424657534246575,8.971445150256535,8.982686400446802,0.021470273008186574,-0.1430342859977186,0.011241250190266783,32744,3581,32744,3581,22962,1999,9782,1582,12281,1012,6085,560,4580,424,0.0,0.0,0.0,8.963069419040153,8.302151075537768,0.2987417542145126,0.4417760402122312,0.18583557292939165,0.15638089919017034,0.37506107989249937,0.28260262496509353,36325,36325
