seed,step_index,gap_index,within_step,post_gap,class_1_low,class_1_high,class_2_low,class_2_high,class_id,arrivals,booked,balked,offered,no_offer,canceled,no_show,served,mean_accepted_booking_delay,mean_offered_booking_delay,percent_serviced,slot_utilization,booked_slot_utilization,balking_rate,total_booking_delay,total_offered_booking_delay
9,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18285,9127,9158,18285,0,4522,849,3756,8.022789525583434,8.042220399234346,0.20541427399507795,0.3215753424657534,0.394263698630137,0.5008476893628657,73224.0,147052.0
9,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18243,13115,5128,18243,0,6020,1108,5987,7.304231795653831,8.098119826782876,0.32818067203859014,0.5125856164383562,0.6074486301369864,0.2810941182919476,95795.0,147734.0
10,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18076,8917,9159,18076,0,4513,768,3636,8.088258382864192,8.082651028988714,0.201150697056871,0.3113013698630137,0.37705479452054796,0.5066939588404514,72123.0,146102.0
10,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18249,13351,4898,18249,0,6081,1091,6179,7.3017751479289945,8.076058962134912,0.3385938955559209,0.5290239726027397,0.622431506849315,0.2683982683982684,97486.0,147380.0
11,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18109,9124,8985,18109,0,4557,826,3740,8.10971065322227,8.123971505881054,0.20652714120050802,0.3202054794520548,0.3909246575342466,0.4961621293279585,73993.0,147117.0
11,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18215,12965,5250,18215,0,5847,1038,6079,7.344080215966063,8.154433159483942,0.3337359319242383,0.5204623287671233,0.6093321917808219,0.28822399121603076,95216.0,148533.0
12,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18241,9077,9164,18241,0,4589,785,3703,8.204252506334692,8.167644317745738,0.20300422125979936,0.31703767123287674,0.38424657534246576,0.5023847376788553,74470.0,148986.0
12,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18302,13126,5176,18302,0,5940,1027,6159,7.305271979277769,8.12687138017703,0.33652059884165664,0.5273116438356165,0.6152397260273973,0.2828106217899683,95889.0,148738.0
13,0,0,0.0,0.0,0.5,0.5,0.0,0.5,1,18363,9247,9116,18363,0,4641,790,3810,8.14091056558884,8.178565593857213,0.20748243751021075,0.3261986301369863,0.3938356164383562,0.49643304470947014,75279.0,150183.0
13,0,0,0.0,0.0,0.5,0.5,0.0,0.5,2,18099,12968,5131,18099,0,5893,1041,6034,7.3126927822331895,8.124316260566882,0.33338858500469637,0.5166095890410959,0.605736301369863,0.28349632576385436,94831.0,147042.0
