background_id,source_scenario_ids,scenario_type,rho,class1_share,slots_per_day,horizon_class1,horizon_class2,cancel_class1_focal,cancel_class2_background,average_utilization,booked_slot_utilization,overall_percent_serviced,mean_accepted_booking_delay,mean_offered_booking_delay,class_1_percent_serviced,class_2_percent_serviced,overall_balking_rate,class_1_balking_rate,class_2_balking_rate,class_1_slot_utilization,class_2_slot_utilization,class_1_booked_slot_utilization,class_2_booked_slot_utilization,class_1_mean_offered_booking_delay,class_2_mean_offered_booking_delay,access_advantage_class_1,balking_rate_gap_class_1,delay_advantage_class_1,seed,class_1_arrivals,class_2_arrivals,class_1_offered,class_2_offered,class_1_booked,class_2_booked,class_1_balked,class_2_balked,class_1_canceled,class_2_canceled,class_1_no_show,class_2_no_show,class_1_served,class_2_served,class_1_no_offer_rate,class_2_no_offer_rate,overall_no_offer_rate,class_1_mean_accepted_booking_delay,class_2_mean_accepted_booking_delay,class_1_balk_rate_per_arrival,class_2_balk_rate_per_arrival,class_1_no_show_rate_per_arrival,class_2_no_show_rate_per_arrival,class_1_cancel_rate_per_arrival,class_2_cancel_rate_per_arrival,total_arrivals,total_offered
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6965753424657535,1.0,0.5526494565217391,2.625407608695652,2.625407608695652,0.5841763551260758,0.2693351424694708,0.0,0.0,0.0,0.6625,0.03398972602739726,0.9529109589041096,0.04743150684931507,2.6211686546882076,2.6635006784260518,0.314841212656605,0.0,0.04233202373784417,2041,13246,1474,13246,1474,13246,1474,0,0,2116,920,3392,157,7738,397,0.0,0.0,0.0,2.6211686546882076,2.6635006784260518,0.0,0.0,0.25607730635663595,0.10651289009497965,0.15974633851728823,0.6241519674355496,14720,14720
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6988013698630137,1.0,0.5509915014164306,2.708957237285849,2.708957237285849,0.5835022142160174,0.26280771789753826,0.0,0.0,0.0,0.6655821917808219,0.033818493150684935,0.9534246575342465,0.046917808219178084,2.7101253471440367,2.6986027944111775,0.3206944963184792,0.0,-0.011522552732859292,2042,13323,1503,13323,1503,13323,1503,0,0,2187,955,3362,153,7774,395,0.0,0.0,0.0,2.7101253471440367,2.6986027944111775,0.0,0.0,0.2523455678150567,0.10179640718562874,0.16415221796892593,0.635395874916833,14826,14826
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7019691780821918,1.0,0.5692915021815915,2.466514301544428,2.466514301544428,0.6018811194202451,0.28133514986376024,0.0,0.0,0.0,0.6684075342465754,0.03535958904109589,0.951027397260274,0.05008561643835616,2.465422866394264,2.476158038147139,0.3205459695564849,0.0,0.010735171752874972,2043,12971,1468,12971,1468,12971,1468,0,0,1863,883,3301,172,7807,413,0.0,0.0,0.0,2.465422866394264,2.476158038147139,0.0,0.0,0.2544907871405443,0.11716621253405994,0.14362809343921054,0.6014986376021798,14439,14439
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7094178082191781,1.0,0.5656090071647901,2.5737973387922213,2.5737973387922213,0.5991924424805729,0.27730542838456507,0.0,0.0,0.0,0.6733732876712328,0.036301369863013695,0.9476027397260274,0.05154109589041096,2.5743562395246076,2.568999345977763,0.32188701409600784,0.0,-0.005356893546844432,2044,13126,1529,13126,1529,13126,1529,0,0,2058,927,3203,178,7865,424,0.0,0.0,0.0,2.5743562395246076,2.568999345977763,0.0,0.0,0.24401950327594088,0.11641595814257685,0.1567880542434862,0.606278613472858,14655,14655
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7033390410958904,1.0,0.5672546857772878,2.561535281146637,2.561535281146637,0.5973946360153257,0.2982216142270862,0.0,0.0,0.0,0.6674657534246575,0.03732876712328767,0.9504280821917809,0.05128424657534247,2.562681992337165,2.5512995896032833,0.2991730217882395,0.0,-0.01138240273388158,2045,13050,1462,13050,1462,13050,1462,0,0,1949,863,3305,163,7796,436,0.0,0.0,0.0,2.562681992337165,2.5512995896032833,0.0,0.0,0.2532567049808429,0.11149110807113544,0.14934865900383143,0.5902872777017784,14512,14512
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7049657534246575,1.0,0.5568112607430467,2.7650402652771198,2.7650402652771198,0.5897532068111919,0.25311203319502074,0.0,0.0,0.0,0.6731164383561644,0.03133561643835617,0.9547089041095891,0.04400684931506849,2.764758832795739,2.767634854771784,0.3366411736161712,0.0,0.0028760219760450845,2046,13331,1446,13331,1446,13331,1446,0,0,2180,932,3289,148,7862,366,0.0,0.0,0.0,2.764758832795739,2.767634854771784,0.0,0.0,0.24671817568074414,0.10235131396957123,0.1635286175080639,0.6445366528354081,14777,14777
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6944349315068493,1.0,0.5498641304347827,2.7192934782608695,2.7192934782608695,0.583156779661017,0.25731382978723405,0.0,0.0,0.0,0.6598458904109589,0.033133561643835616,0.9506849315068493,0.047773972602739724,2.721852300242131,2.6968085106382977,0.3258429498737829,0.0,-0.025043789603833133,2047,13216,1504,13216,1504,13216,1504,0,0,2112,946,3397,171,7707,387,0.0,0.0,0.0,2.721852300242131,2.6968085106382977,0.0,0.0,0.25703692493946734,0.11369680851063829,0.15980629539951574,0.6289893617021277,14720,14720
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7022260273972603,1.0,0.5611427005549086,2.617798177707748,2.617798177707748,0.5948006403903332,0.2628378378378378,0.0,0.0,0.0,0.6679794520547945,0.033304794520547944,0.9505993150684932,0.048287671232876715,2.620340016772128,2.5952702702702704,0.3319628025524954,0.0,-0.02506974650185745,2048,13117,1480,13117,1480,13117,1480,0,0,2014,916,3301,175,7802,389,0.0,0.0,0.0,2.620340016772128,2.5952702702702704,0.0,0.0,0.2516581535412061,0.11824324324324324,0.15354120606846078,0.6189189189189189,14597,14597
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6980308219178082,1.0,0.5587590740994385,2.7007944117244214,2.7007944117244214,0.5903030303030303,0.26176890156918686,0.0,0.0,0.0,0.6671232876712329,0.03142123287671233,0.9544520547945206,0.04580479452054795,2.699090909090909,2.716833095577746,0.32853412873384347,0.0,0.017742186486836786,2049,13200,1402,13200,1402,13200,1402,0,0,2052,867,3356,168,7792,367,0.0,0.0,0.0,2.699090909090909,2.716833095577746,0.0,0.0,0.25424242424242427,0.11982881597717546,0.15545454545454546,0.6184022824536377,14602,14602
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6911815068493151,1.0,0.5513074349696183,2.6520106506451833,2.6520106506451833,0.5826205434864885,0.26323119777158777,0.0,0.0,0.0,0.6589897260273972,0.032363013698630136,0.9535958904109589,0.04589041095890411,2.649156006358338,2.6782729805013927,0.31938934571490074,0.0,0.029116974143054808,2050,13211,1436,13211,1436,13211,1436,0,0,2073,900,3441,158,7697,378,0.0,0.0,0.0,2.649156006358338,2.6782729805013927,0.0,0.0,0.26046476421164183,0.11002785515320335,0.15691469230186966,0.6267409470752089,14647,14647
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6964041095890411,1.0,0.5554418287273968,2.6036165131354485,2.6036165131354485,0.5868327131900676,0.2772543741588156,0.0,0.0,0.0,0.6616438356164384,0.03527397260273973,0.9506849315068493,0.05008561643835616,2.602019895208444,2.617765814266487,0.309578339031252,0.0,0.0157459190580429,2051,13169,1486,13169,1486,13169,1486,0,0,2065,901,3376,173,7728,412,0.0,0.0,0.0,2.602019895208444,2.617765814266487,0.0,0.0,0.25635963247019516,0.11641991924629878,0.15680765433973726,0.6063257065948856,14655,14655
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6929794520547945,1.0,0.5550239234449761,2.5967874231032124,2.5967874231032124,0.5867806095439764,0.2565742714996446,0.0,0.0,0.0,0.6642979452054795,0.030907534246575344,0.9595034246575342,0.04315068493150685,2.5952506995386826,2.611229566453447,0.33020633804433175,0.0,0.015978866914764467,2052,13223,1407,13223,1407,13223,1407,0,0,2016,903,3448,143,7759,361,0.0,0.0,0.0,2.5952506995386826,2.611229566453447,0.0,0.0,0.2607577705513121,0.10163468372423597,0.1524616199047115,0.6417910447761194,14630,14630
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6954623287671233,1.0,0.5595033952946018,2.596062830098086,2.596062830098086,0.5900866656530332,0.2771929824561403,0.0,0.0,0.0,0.664554794520548,0.033818493150684935,0.9564212328767123,0.047602739726027396,2.593279610764786,2.621754385964912,0.3128936831968929,0.0,0.02847477520012598,2053,13154,1425,13154,1425,13154,1425,0,0,1983,869,3409,161,7762,395,0.0,0.0,0.0,2.593279610764786,2.621754385964912,0.0,0.0,0.2591607115706249,0.11298245614035088,0.1507526227763418,0.6098245614035088,14579,14579
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6924657534246575,1.0,0.556986433441223,2.5539563390951034,2.5539563390951034,0.5880688336520077,0.27593360995850624,0.0,0.0,0.0,0.6583047945205479,0.03416095890410959,0.9498287671232877,0.049058219178082195,2.5567112810707457,2.529045643153527,0.31213522369350144,0.0,-0.027665637917218877,2054,13075,1446,13075,1446,13075,1446,0,0,1981,873,3405,174,7689,399,0.0,0.0,0.0,2.5567112810707457,2.529045643153527,0.0,0.0,0.2604206500956023,0.12033195020746888,0.15151051625239007,0.6037344398340249,14521,14521
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6950342465753425,1.0,0.5592332092125224,2.5888153358157497,2.5888153358157497,0.591110771113831,0.26783216783216784,0.0,0.0,0.0,0.6615582191780822,0.03279109589041096,0.9508561643835617,0.048544520547945204,2.585985312117503,2.614685314685315,0.3232786032816632,0.0,0.02870000256781191,2055,13072,1430,13072,1430,13072,1430,0,0,1966,863,3379,184,7727,383,0.0,0.0,0.0,2.585985312117503,2.614685314685315,0.0,0.0,0.25849143206854347,0.12867132867132866,0.15039779681762547,0.6034965034965035,14502,14502
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7017123287671233,1.0,0.562409737982257,2.5822158035898495,2.5822158035898495,0.594239437695775,0.27548209366391185,0.0,0.0,0.0,0.6659246575342466,0.03424657534246575,0.9485445205479452,0.05051369863013699,2.5846130338452133,2.5606060606060606,0.3187573440318632,0.0,-0.024006973239152796,2056,13089,1452,13089,1452,13089,1452,0,0,2010,862,3301,190,7778,400,0.0,0.0,0.0,2.5846130338452133,2.5606060606060606,0.0,0.0,0.25219650087860035,0.13085399449035812,0.15356406142562457,0.59366391184573,14541,14541
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6978595890410959,1.0,0.5646145313366612,2.5278008874098723,2.5278008874098723,0.59391331079004,0.29461756373937675,0.0,0.0,0.0,0.6616438356164384,0.03561643835616438,0.9487157534246575,0.05077054794520548,2.5270519520442667,2.534702549575071,0.2992957470506632,0.0,0.007650597530804326,2057,13012,1412,13012,1412,13012,1412,0,0,1931,819,3353,177,7728,416,0.0,0.0,0.0,2.5270519520442667,2.534702549575071,0.0,0.0,0.2576852136489394,0.1253541076487252,0.1484014755610206,0.580028328611898,14424,14424
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6964041095890411,1.0,0.5539886913277471,2.6580148511478985,2.6580148511478985,0.5871226450783082,0.25444596443228457,0.0,0.0,0.0,0.6643835616438356,0.03184931506849315,0.9549657534246575,0.04589041095890411,2.655822047363244,2.6778385772913817,0.3326766806460237,0.0,0.02201652992813763,2058,13217,1462,13217,1462,13217,1462,0,0,2063,926,3394,164,7760,372,0.0,0.0,0.0,2.655822047363244,2.6778385772913817,0.0,0.0,0.2567904970870848,0.1121751025991792,0.15608685783460693,0.6333789329685362,14679,14679
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7016267123287672,1.0,0.5579621304999319,2.6631249148617355,2.6631249148617355,0.5892411288492093,0.2757679180887372,0.0,0.0,0.0,0.6667808219178082,0.03458904109589041,0.9517979452054794,0.047602739726027396,2.662858439888023,2.6655290102389078,0.31347321076047213,0.0,0.0026705703508849155,2059,13217,1465,13217,1465,13217,1465,0,0,2100,909,3329,152,7788,404,0.0,0.0,0.0,2.662858439888023,2.6655290102389078,0.0,0.0,0.25187258833320725,0.1037542662116041,0.1588862828175834,0.6204778156996587,14682,14682
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7054794520547946,1.0,0.5678782872091422,2.5660195511496626,2.5660195511496626,0.6007002587912924,0.25720461095100866,0.0,0.0,0.0,0.6756849315068493,0.030565068493150684,0.9576198630136986,0.04340753424657534,2.56454559293652,2.579971181556196,0.34349564784028375,0.0,0.01542558861967569,2060,13138,1388,13138,1388,13138,1388,0,0,1953,881,3293,150,7892,357,0.0,0.0,0.0,2.56454559293652,2.579971181556196,0.0,0.0,0.2506469782310854,0.10806916426512968,0.14865276297762217,0.6347262247838616,14526,14526
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7025684931506849,1.0,0.5630655333150535,2.6384699753221827,2.6384699753221827,0.5949744138089055,0.2836120401337793,0.0,0.0,0.0,0.6669520547945206,0.036301369863013695,0.9505993150684932,0.050684931506849315,2.639578400672115,2.62876254180602,0.3113623736751262,0.0,-0.010815858866094707,2061,13093,1495,13093,1495,13093,1495,0,0,1990,903,3313,168,7790,424,0.0,0.0,0.0,2.639578400672115,2.62876254180602,0.0,0.0,0.25303597342091194,0.11237458193979934,0.15198961277018255,0.6040133779264214,14588,14588
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7016267123287672,1.0,0.5600848095205526,2.611996443471719,2.611996443471719,0.5942336874051594,0.2477446217904233,0.0,0.0,0.0,0.6705479452054794,0.030565068493150684,0.954195205479452,0.04563356164383562,2.610773899848255,2.623178348369188,0.346489065614736,0.0,0.01240444852093292,2062,13180,1441,13180,1441,13180,1441,0,0,2035,908,3313,176,7832,357,0.0,0.0,0.0,2.610773899848255,2.623178348369188,0.0,0.0,0.2513657056145675,0.12213740458015267,0.15440060698027314,0.630117973629424,14621,14621
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6974315068493151,1.0,0.5582032319912352,2.594768556559847,2.594768556559847,0.5924961715160796,0.26813471502590674,0.0,0.0,0.0,0.6625,0.035445205479452055,0.95,0.05179794520547945,2.595405819295559,2.589378238341969,0.32436145649017284,0.0,-0.006027580953590128,2063,13060,1544,13060,1544,13060,1544,0,0,1964,939,3358,191,7738,414,0.0,0.0,0.0,2.595405819295559,2.589378238341969,0.0,0.0,0.2571209800918836,0.12370466321243523,0.15038284839203675,0.6081606217616581,14604,14604
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.7017123287671233,1.0,0.5536837832352344,2.722210946485353,2.722210946485353,0.5871931536671421,0.24794520547945206,0.0,0.0,0.0,0.6696917808219178,0.030993150684931508,0.9539383561643836,0.04571917808219178,2.71984085278883,2.743835616438356,0.33924794818769,0.0,0.02399476364952635,2064,13321,1460,13321,1460,13321,1460,0,0,2179,926,3320,172,7822,362,0.0,0.0,0.0,2.71984085278883,2.743835616438356,0.0,0.0,0.2492305382478793,0.1178082191780822,0.1635763080849786,0.6342465753424658,14781,14781
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.701027397260274,1.0,0.5654247597981613,2.5315545724752884,2.5315545724752884,0.597663156276424,0.2777777777777778,0.0,0.0,0.0,0.665667808219178,0.034674657534246575,0.9502568493150685,0.05,2.5314782073948803,2.532235939643347,0.3198853784986462,0.0,0.0007577322484668692,2065,13009,1458,13009,1458,13009,1458,0,0,1910,874,3324,179,7775,405,0.0,0.0,0.0,2.5314782073948803,2.532235939643347,0.0,0.0,0.2555154124067953,0.12277091906721536,0.1468214313167807,0.5994513031550068,14467,14467
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.698458904109589,1.0,0.5579076754984976,2.608918328325594,2.608918328325594,0.5887580706418534,0.28329952670723463,0.0,0.0,0.0,0.6636130136986301,0.03587328767123288,0.9518835616438356,0.04940068493150685,2.609266995822256,2.605814739688979,0.30545854393461874,0.0,-0.003452256133277043,2066,13165,1479,13165,1479,13165,1479,0,0,2047,902,3367,158,7751,419,0.0,0.0,0.0,2.609266995822256,2.605814739688979,0.0,0.0,0.2557538928978352,0.1068289384719405,0.15548803646031142,0.6098715348208249,14644,14644
H1B0198,S166,sobol_symmetric,1.25,0.9,32,14,14,0.1,0.5,0.6991438356164383,1.0,0.5649530127142067,2.60599778883361,2.60599778883361,0.5967371323529411,0.2718926553672316,0.0,0.0,0.0,0.6670376712328767,0.03296232876712329,0.9531678082191781,0.04820205479452055,2.6082261029411766,2.5854519774011298,0.3248444769857095,0.0,-0.022774125540046875,2067,13056,1416,13056,1416,13056,1416,0,0,1923,853,3342,178,7791,385,0.0,0.0,0.0,2.6082261029411766,2.5854519774011298,0.0,0.0,0.25597426470588236,0.12570621468926554,0.14728860294117646,0.6024011299435028,14472,14472
